ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7003786915,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603564868,1,0,,,0,,1,,,1,1,,,,,,,,,,,,,,,,,,
22994290000,0,,0,2,,0,,,,,,0,,,,,,,,,,,,,,,,,
7003954863,0,1,1,1,1,2,1,2,3,2,5,,,,,,,,,,,,,,,,,,
6701907288,2,,0,,,3,1,,,0,,,,,,,,,,,,,,,,,,,
7004477117,0,2,0,,0,,,,1,,,,,,,,,,,,,,,,,,,,
56208284000,0,2,1,1,2,,1,,,,1,2,,,,,,,,,,,,,,,,,
57062614600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6602402636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6505865105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57197947716,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506574625,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8983015300,3,,,,2,,,1,,,2,2,,,,,,,,,,,,,,,,,
7006352854,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
6602003303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603880169,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
24293169700,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57205723504,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004077513,3,4,,,,,4,,5,,,,,,,,,,,,,,,,,,,,
7004677315,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6504375640,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57206295713,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6602288761,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6504163364,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004184182,5,,,,,3,2,4,4,,3,,,,,,,,,,,,,,,,,,
6602216568,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24358649700,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36048416000,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6701693584,5,,,,,,2,4,4,,3,,,,,,,,,,,,,,,,,,
57196696472,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506845759,0,,,1,,,2,,2,,,,,,,,,,,,,,,,,,,,
7403534980,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007169219,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
6505449333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603810595,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
57202858210,0,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
55912419000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36913996300,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57194735770,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603706725,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007155424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101943091,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
7005865513,3,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,
6508264507,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506865904,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004490367,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6603130655,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57101562400,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003620241,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
