,ID,2014,2015,2016,2017,2018
0,56764415200,1,1,1,1,1
1,35292611200,5,5,5,5,5
2,8840160700,7,7,7,7,13
3,56405270700,6,7,8,9,9
4,6507062272,2,2,2,2,2
5,57197027363,3,3,3,3,5
6,55772028800,2,2,2,2,2
7,6603599631,7,7,7,7,7
8,57192869992,13,13,13,13,22
9,56786219600,1,1,2,2,5
10,56258098900,3,3,3,3,3
11,56454911200,2,2,2,2,4
12,56380641100,1,1,4,5,9
13,9638557700,2,2,2,2,2
14,56048441500,2,2,2,2,4
15,56543539900,4,4,4,4,15
16,7005630359,5,5,5,5,10
17,36674438400,3,3,3,3,6
18,56275447000,4,4,4,4,4
19,22833351700,3,3,3,3,3
20,56785790000,2,11,11,11,15
21,55875559800,7,7,7,7,7
22,56581973100,2,2,2,2,6
23,56369928700,2,2,2,2,2
24,25652657500,2,2,2,2,6
25,37076777600,2,2,2,2,3
26,24468209600,3,3,3,3,8
27,55536629600,3,3,3,4,4
28,56463907200,6,6,6,6,9
29,56333360900,3,3,3,3,6
30,55568517804,2,2,2,2,2
31,24723328900,4,4,4,4,6
32,55532170300,4,4,4,4,6
33,57193339215,3,3,3,7,17
34,7102872675,4,4,4,4,25
35,56204188800,4,4,4,6,7
36,57201193002,2,2,2,2,2
37,23467341400,5,5,5,5,5
38,56480794600,6,6,6,6,6
39,55260376700,2,2,2,2,2
40,56457949700,6,6,6,6,10
41,56313538000,2,2,2,4,6
42,56422336900,4,4,4,4,4
43,36350277000,2,2,2,2,2
44,56239873500,3,6,6,6,6
45,56422129200,1,1,1,1,5
46,25641146900,3,3,3,3,3
47,10143670400,2,2,2,2,7
48,56206655300,4,4,4,4,4
49,36129681500,7,10,10,10,10
50,56369144300,4,6,6,8,15
51,25822274100,5,5,5,5,10
52,56683807800,3,3,3,3,3
53,36083595900,2,2,2,2,4
54,50761536500,2,4,4,4,7
55,56502341500,2,2,2,4,4
56,57189376205,2,2,4,6,6
57,56258741700,2,2,2,2,5
58,57196782543,4,4,4,4,6
59,56559055300,15,15,15,15,19
60,55923314500,4,4,4,4,5
61,55575876800,4,4,4,4,4
62,56454379300,2,2,2,2,3
63,56031784000,4,4,4,7,12
64,56211148900,4,5,5,5,8
65,56765946700,3,6,6,6,11
66,55990536300,4,4,4,4,4
67,7401577287,4,4,4,4,4
68,36447448500,1,2,2,2,4
69,36442261400,2,2,2,2,2
70,56457144600,5,5,7,7,9
71,55412599500,2,3,3,7,7
72,56950053100,3,3,3,3,3
73,56454813100,2,2,2,2,4
74,8710818200,2,2,2,5,5
75,56451122400,2,2,2,2,2
76,56523037600,3,6,6,6,7
77,7403596707,5,5,5,5,16
78,57196973951,2,2,2,2,4
79,7801660909,8,8,8,8,24
80,36740064400,6,6,6,6,11
81,55960919600,3,3,3,3,6
82,56597323300,3,3,3,3,3
83,56355381900,3,3,3,3,3
84,56228379900,1,1,2,2,5
