ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
7004278733,3,3,3,3,3,3,3,3,3,3,3,3,2007
8420644500,36,36,36,36,36,36,36,36,36,36,36,43,2007
35518445600,4,4,4,4,4,4,4,4,4,4,4,4,2007
8951841700,3,3,7,10,15,15,15,15,15,15,15,19,2007
25628041300,1,1,1,1,1,1,1,1,1,1,1,6,2007
8725774100,44,44,44,44,44,44,44,46,57,57,80,98,2007
12759866100,13,13,13,13,13,13,13,13,13,13,13,16,2007
23393046200,4,4,7,7,7,7,10,15,15,15,15,15,2007
8227588300,3,3,3,3,3,3,3,3,3,3,3,13,2007
25930747600,2,2,2,2,2,2,2,2,2,2,2,3,2007
25930873200,2,2,2,2,2,2,2,2,2,2,2,3,2007
6506745859,6,6,6,6,6,6,6,9,9,9,12,37,2007
