ID,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
7003967572,2,2,2,2,2,2,2,6,11,2010
6603095265,3,3,3,3,3,3,3,3,15,2010
35758716500,2,2,2,2,2,4,4,4,4,2010
34869177500,3,3,3,3,3,3,3,3,7,2010
36632699100,2,2,2,2,2,2,2,2,2,2010
6507833608,4,4,4,4,4,4,4,4,8,2010
7004015642,3,3,3,3,3,3,3,3,3,2010
36602324700,3,3,3,3,3,3,3,3,3,2010
57195333662,1,1,1,1,1,1,1,4,7,2010
7101736824,2,2,2,2,2,2,2,2,4,2010
35291372200,11,11,11,11,11,11,11,11,11,2010
36809621500,4,4,4,4,4,4,4,4,6,2010
36131275700,3,3,3,3,3,3,3,6,9,2010
36194838700,2,3,5,5,5,5,5,5,13,2010
48161450600,3,3,3,3,3,3,3,3,5,2010
8325080300,3,3,3,3,3,3,3,3,5,2010
6602076896,5,5,5,5,5,5,5,5,9,2010
37013348000,1,1,1,3,3,3,3,3,5,2010
57204347222,9,16,16,16,16,16,16,16,18,2010
57204299283,1,1,1,1,1,1,1,1,2,2010
35758485100,2,2,2,2,2,4,4,4,11,2010
56976706300,3,3,3,3,3,3,3,3,6,2010
55376151100,3,3,3,3,3,3,3,3,3,2010
55625205100,3,3,3,3,3,3,3,3,6,2010
7005317835,2,2,2,2,2,2,2,6,15,2010
22433794400,2,2,2,2,2,2,4,4,4,2010
7004559819,7,7,7,7,7,7,7,7,15,2010
37561514400,4,6,6,7,8,8,8,8,8,2010
7003399205,5,5,5,5,5,5,5,5,12,2010
57197641435,3,3,3,5,5,5,5,5,10,2010
