ID,2013,2014,2015,2016,2017,2018,start_year
56103912200,3,3,4,4,4,4,2013
55729731000,4,4,4,4,4,8,2013
6507332974,3,3,3,3,3,23,2013
55975701200,1,2,2,2,2,3,2013
57192087996,2,2,4,4,4,6,2013
37069176500,5,5,5,5,5,5,2013
57196899108,4,4,4,4,4,5,2013
26423001900,2,2,2,2,2,2,2013
12544978000,4,10,20,20,20,29,2013
57188991929,8,8,8,8,8,8,2013
35493090400,4,4,4,4,4,7,2013
56942496900,4,4,6,6,8,11,2013
22958981500,8,9,10,10,12,27,2013
25927356300,17,17,17,17,17,21,2013
55646340800,2,2,2,2,2,5,2013
55820506300,3,5,8,8,8,21,2013
55695539700,4,4,5,5,5,5,2013
55816358100,1,1,1,1,1,4,2013
55789668800,2,4,4,4,4,5,2013
55791250300,3,3,3,5,5,6,2013
20336520000,4,4,4,4,4,5,2013
56122640500,4,4,4,4,4,4,2013
56023644400,2,2,2,2,2,10,2013
55836009200,2,2,2,2,2,3,2013
55817312800,4,4,4,4,9,18,2013
55816676700,4,4,4,4,4,4,2013
56038454600,3,3,3,3,3,47,2013
9740379700,5,5,5,5,5,15,2013
56200912800,6,6,6,6,6,7,2013
56117272000,5,5,5,5,5,5,2013
6603434395,1,1,1,1,1,2,2013
55316960300,16,16,16,16,16,22,2013
7005801091,7,7,7,7,7,12,2013
55906714900,3,3,3,3,3,6,2013
56102084600,3,3,3,3,3,5,2013
56022618900,2,2,2,2,2,3,2013
8856627300,5,5,5,9,9,9,2013
56039824600,4,4,4,4,4,6,2013
14024888300,5,5,5,5,5,5,2013
8837646800,2,2,2,5,5,5,2013
7202871891,5,5,5,5,5,21,2013
55957317300,3,3,3,3,3,6,2013
55923229100,3,3,3,6,6,6,2013
16030875000,1,1,1,1,1,1,2013
54406560700,7,7,7,7,7,7,2013
55885348300,3,3,3,3,3,9,2013
36682085300,2,2,2,2,2,4,2013
26030064300,18,18,18,18,18,43,2013
14833690900,3,3,6,6,6,10,2013
9042819400,5,5,5,5,5,15,2013
