ID,2014,2015,2016,2017,2018,start_year
56764415200,1,1,1,1,1,2014
35292611200,5,5,5,5,5,2014
8840160700,7,7,7,7,13,2014
56405270700,6,7,8,9,9,2014
6507062272,2,2,2,2,2,2014
57197027363,3,3,3,3,5,2014
55772028800,2,2,2,2,2,2014
6603599631,7,7,7,7,7,2014
57192869992,13,13,13,13,22,2014
56786219600,1,1,2,2,5,2014
56258098900,3,3,3,3,3,2014
56454911200,2,2,2,2,4,2014
56380641100,1,1,4,5,9,2014
9638557700,2,2,2,2,2,2014
56048441500,2,2,2,2,4,2014
56543539900,4,4,4,4,15,2014
7005630359,5,5,5,5,10,2014
36674438400,3,3,3,3,6,2014
56275447000,4,4,4,4,4,2014
22833351700,3,3,3,3,3,2014
56785790000,2,11,11,11,15,2014
55875559800,7,7,7,7,7,2014
56581973100,2,2,2,2,6,2014
56369928700,2,2,2,2,2,2014
25652657500,2,2,2,2,6,2014
37076777600,2,2,2,2,3,2014
24468209600,3,3,3,3,8,2014
55536629600,3,3,3,4,4,2014
56463907200,6,6,6,6,9,2014
56333360900,3,3,3,3,6,2014
55568517804,2,2,2,2,2,2014
24723328900,4,4,4,4,6,2014
55532170300,4,4,4,4,6,2014
57193339215,3,3,3,7,17,2014
7102872675,4,4,4,4,25,2014
56204188800,4,4,4,6,7,2014
57201193002,2,2,2,2,2,2014
23467341400,5,5,5,5,5,2014
56480794600,6,6,6,6,6,2014
55260376700,2,2,2,2,2,2014
56457949700,6,6,6,6,10,2014
56313538000,2,2,2,4,6,2014
56422336900,4,4,4,4,4,2014
36350277000,2,2,2,2,2,2014
56239873500,3,6,6,6,6,2014
56422129200,1,1,1,1,5,2014
25641146900,3,3,3,3,3,2014
10143670400,2,2,2,2,7,2014
56206655300,4,4,4,4,4,2014
36129681500,7,10,10,10,10,2014
56369144300,4,6,6,8,15,2014
25822274100,5,5,5,5,10,2014
56683807800,3,3,3,3,3,2014
36083595900,2,2,2,2,4,2014
50761536500,2,4,4,4,7,2014
56502341500,2,2,2,4,4,2014
57189376205,2,2,4,6,6,2014
56258741700,2,2,2,2,5,2014
57196782543,4,4,4,4,6,2014
56559055300,15,15,15,15,19,2014
55923314500,4,4,4,4,5,2014
55575876800,4,4,4,4,4,2014
56454379300,2,2,2,2,3,2014
56031784000,4,4,4,7,12,2014
56211148900,4,5,5,5,8,2014
56765946700,3,6,6,6,11,2014
55990536300,4,4,4,4,4,2014
7401577287,4,4,4,4,4,2014
36447448500,1,2,2,2,4,2014
36442261400,2,2,2,2,2,2014
56457144600,5,5,7,7,9,2014
55412599500,2,3,3,7,7,2014
56950053100,3,3,3,3,3,2014
56454813100,2,2,2,2,4,2014
8710818200,2,2,2,5,5,2014
56451122400,2,2,2,2,2,2014
56523037600,3,6,6,6,7,2014
7403596707,5,5,5,5,16,2014
57196973951,2,2,2,2,4,2014
7801660909,8,8,8,8,24,2014
36740064400,6,6,6,6,11,2014
55960919600,3,3,3,3,6,2014
56597323300,3,3,3,3,3,2014
56355381900,3,3,3,3,3,2014
56228379900,1,1,2,2,5,2014
