ID,2015,2016,2017,2018,start_year
22953696000,4,4,4,4,2015
57150989000,3,4,4,4,2015
22034355400,4,4,4,4,2015
7404628260,1,1,1,1,2015
57188926644,3,3,3,3,2015
57189663597,3,3,3,3,2015
57190796208,2,2,2,3,2015
15080758200,12,12,12,20,2015
57156103200,3,3,3,3,2015
56705211300,4,4,4,8,2015
7005996735,6,6,6,10,2015
57189272347,13,13,13,14,2015
57188737661,4,5,5,5,2015
56247339000,17,17,17,22,2015
57188737514,2,2,2,5,2015
56140105800,3,3,3,5,2015
56925067400,2,2,4,7,2015
57169871700,7,7,7,9,2015
7201988474,4,4,4,11,2015
57189992686,5,5,5,5,2015
50262952600,7,7,7,10,2015
56641069000,4,4,4,4,2015
56417189100,12,12,12,12,2015
35616993400,7,7,7,12,2015
6507161068,7,7,7,10,2015
8688973700,8,8,8,8,2015
57188680467,4,4,4,4,2015
57190794125,1,1,1,2,2015
56786280400,2,2,2,3,2015
55890859500,7,7,7,10,2015
57189090503,1,1,1,1,2015
57188812722,4,4,4,5,2015
57163349100,2,2,2,2,2015
54991462500,4,4,4,9,2015
57189069837,3,3,3,3,2015
24081026500,2,2,2,5,2015
56724206100,2,2,2,5,2015
6603038488,3,3,3,3,2015
57203687878,3,3,3,3,2015
6603580503,4,4,4,4,2015
57189248777,3,5,5,6,2015
56786224600,2,5,6,6,2015
8693841200,7,7,7,12,2015
57156436700,1,3,6,9,2015
57188765034,3,3,3,3,2015
48361097600,3,3,10,19,2015
25654751400,12,12,12,22,2015
55409920800,5,5,5,8,2015
57189065969,3,3,5,12,2015
56467971300,7,7,7,21,2015
6701551272,4,10,13,14,2015
57188716813,1,1,1,4,2015
57006476800,5,5,5,7,2015
57194009921,4,4,4,5,2015
7005562440,6,6,6,14,2015
57188963447,7,7,7,11,2015
56027799900,11,13,13,13,2015
57194016459,12,12,12,21,2015
56703430500,4,4,4,7,2015
57189095837,2,2,2,2,2015
13405260500,33,64,64,67,2015
56453709800,2,2,2,2,2015
57188873738,2,2,2,2,2015
56888627000,4,4,7,11,2015
55792786500,4,5,5,6,2015
56737175900,2,2,2,5,2015
57125522800,2,2,2,4,2015
56290171000,1,1,1,1,2015
55542129000,4,4,4,5,2015
57188663628,3,3,3,4,2015
56377097000,3,3,3,3,2015
55846616900,4,4,4,5,2015
57188823103,5,5,5,6,2015
57188586087,2,3,3,3,2015
55575181500,3,3,3,3,2015
55865525600,3,3,3,8,2015
6603630375,3,3,3,3,2015
57188590551,2,2,2,4,2015
57188819124,4,4,4,5,2015
57060492500,2,2,2,2,2015
57198308757,5,5,5,5,2015
23391884200,6,6,6,6,2015
56891703200,5,5,5,9,2015
56784960900,2,2,2,5,2015
55941785800,4,4,4,12,2015
57190387692,2,2,2,2,2015
57188834762,3,3,3,6,2015
23090214600,3,3,3,3,2015
57148032800,1,1,1,1,2015
36522496000,1,1,1,3,2015
56997151800,4,4,4,4,2015
57142538700,1,1,3,4,2015
54961736000,3,3,3,8,2015
57163236700,4,4,4,10,2015
23135557900,3,3,3,3,2015
57037897700,3,3,3,8,2015
57188691510,6,6,8,8,2015
57188692604,4,4,4,6,2015
56940923800,2,2,2,2,2015
57144377900,4,4,4,5,2015
56533468900,4,4,4,5,2015
57189309695,3,3,3,8,2015
7006090277,12,12,12,12,2015
56712692000,4,4,4,8,2015
55877197500,12,12,12,21,2015
55879512500,4,4,4,6,2015
56502239600,3,5,5,5,2015
6701704981,19,19,19,23,2015
56027286500,7,7,7,9,2015
57063135900,4,4,4,4,2015
57056512500,11,11,11,11,2015
14016090000,3,6,8,12,2015
56045160500,9,9,9,10,2015
55323008900,19,19,19,24,2015
