ID,2013,2014,2015,2016,2017,2018
6602806420,11,11,11,11,11,23
55838084400,7,8,8,9,9,9
25927422700,4,9,13,20,20,20
35280782200,16,16,16,85,85,106
55858739400,2,2,2,4,6,6
7007079554,6,6,6,6,6,6
54909671300,13,13,13,13,13,13
57193393436,4,4,4,4,4,4
7003374609,5,5,5,5,5,5
15074252500,2,5,7,18,21,25
6701477696,5,5,5,5,8,8
36161830500,26,26,26,30,30,30
57201763346,15,15,15,15,15,15
6701796940,6,17,17,86,86,122
6701667002,5,7,7,7,7,7
56022603200,12,16,18,21,21,21
8397946300,7,7,7,14,14,14
7007169386,5,5,5,5,19,19
55492761300,4,4,4,4,4,6
55884156700,2,2,2,2,4,18
8299585600,6,6,12,12,15,15
55845274800,4,4,4,4,4,4
35088272100,5,5,5,5,5,5
55734431500,3,3,3,3,7,7
55428856300,7,7,7,7,7,7
14021178000,7,7,7,7,9,9
13007835700,5,5,9,9,11,14
55820081400,2,4,5,5,5,5
15822947100,7,12,14,17,17,19
56103912200,3,3,4,4,4,4
55729731000,4,4,4,4,4,8
55904892600,2,2,2,7,10,10
55070185400,4,4,7,8,8,8
9242166800,6,15,30,30,30,34
55640100100,26,26,27,27,27,27
7006294849,5,11,11,13,14,14
8281704300,1,1,1,1,1,1
55904560000,3,3,7,10,14,21
7402136130,25,25,25,29,35,35
55630450000,7,9,10,10,10,10
56026698000,2,2,4,6,7,7
55822953300,17,18,19,45,51,51
6603186492,4,4,4,4,4,4
56022839200,3,5,5,5,5,5
6506096049,21,21,21,21,21,21
55647175800,6,7,7,8,8,8
8631765400,2,2,2,2,2,5
36145387400,1,1,6,6,6,6
36650169000,2,3,4,4,4,4
6507332974,3,3,3,3,3,23
57079290600,2,2,2,2,3,3
36666394100,5,9,16,17,25,26
6701389680,6,6,6,6,6,6
55848607900,6,9,19,19,33,33
55930646200,6,15,25,29,29,34
55791878100,6,6,6,6,6,6
26424648000,7,7,7,7,7,7
37117515500,2,2,2,2,2,2
7401692221,4,4,32,32,32,32
25936885200,4,4,4,4,4,4
55837300300,4,4,4,4,4,4
55190073300,2,2,2,2,2,2
56023170700,2,5,8,14,19,22
20734587500,2,2,2,2,2,2
56081449900,2,2,2,2,2,2
35618323100,25,25,28,28,32,33
36980320700,2,3,3,3,4,4
7102199356,10,10,10,10,10,10
55975701200,1,2,2,2,2,3
55879495900,13,27,27,48,49,49
14059984200,3,3,3,3,3,3
12647134800,14,14,14,14,14,14
23388121000,6,25,42,42,42,49
55859133700,2,4,4,5,13,13
55174287000,2,2,2,2,2,2
55978732300,1,4,6,8,10,11
55926100200,7,7,7,7,7,15
55803641700,11,11,20,26,27,32
56081572600,2,2,2,2,4,4
57192087996,2,2,4,4,4,6
9738674400,4,20,34,41,47,48
36710369600,4,4,4,4,4,4
23486591200,2,3,3,5,5,10
53982229500,6,6,6,6,6,6
35336737300,28,28,28,28,73,73
55888309000,4,7,7,13,18,18
23492825500,15,15,15,15,15,15
55903604000,11,11,17,29,34,40
55837370900,2,5,5,6,9,9
37069176500,5,5,5,5,5,5
9237000300,8,8,8,8,8,21
36863848000,7,15,15,15,15,15
56581923100,19,19,19,19,19,19
55257179200,7,7,7,7,7,7
35791952800,2,5,7,14,14,29
57192331554,7,14,18,20,21,21
55994699400,2,3,6,11,13,13
35725139300,10,10,10,10,10,10
55849891700,4,5,5,13,15,15
57203105549,2,7,14,17,20,22
57196899108,4,4,4,4,4,5
7003785139,4,4,4,4,4,4
36768761700,9,9,9,9,9,9
55646749500,5,11,11,11,16,16
9332600200,4,4,10,12,23,23
26423001900,2,2,2,2,2,2
7201761961,1,1,2,3,3,3
55814465100,2,5,6,24,49,72
55623834700,2,3,5,8,8,8
53877568600,15,24,28,28,28,28
56080924500,3,3,3,3,3,3
24479308400,4,4,5,5,5,5
57190299473,4,4,9,16,17,17
56217207200,3,3,3,3,3,7
23972551300,10,14,14,14,14,14
55805902000,5,6,10,10,10,11
55886369600,4,4,4,4,4,4
55795799300,4,10,19,19,31,31
36715456100,7,7,7,7,7,7
