Unnamed: 0,ID,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
844,7005243284,2,4,6,6,7,9,13,13,20,22,24,28,29,31,34,34,35,40,42,47,48,50,52,52,52,52,55,1992
930,35609544900,1,1,1,2,11,16,20,20,21,21,21,21,26,29,29,36,41,46,48,50,51,64,68,71,71,71,73,1992
1004,55154987800,4,4,4,4,4,4,4,8,14,17,17,22,23,31,37,37,37,47,52,56,64,64,64,68,68,73,73,1992
1165,6602821958,2,2,2,3,3,4,5,5,5,5,5,7,7,7,8,10,10,11,11,11,18,18,20,25,29,30,32,1992
1192,6701814154,5,5,5,7,8,8,10,10,11,17,18,24,24,29,37,38,46,51,52,53,54,61,65,70,70,70,71,1992
1249,6602976495,1,1,1,3,4,10,10,10,10,13,13,13,13,14,18,20,22,24,24,27,27,27,27,27,27,27,28,1992
1551,7006099867,2,2,2,2,2,2,3,3,3,20,25,30,30,39,41,41,47,53,53,53,58,58,58,59,59,59,59,1992
2226,6602102248,3,3,3,4,5,8,8,10,12,16,18,20,22,27,28,32,33,36,44,48,50,54,61,66,68,69,69,1992
2319,7003273112,2,2,2,5,5,6,7,7,7,7,7,7,7,11,11,11,13,13,15,15,17,17,17,17,17,17,17,1992
2321,6701777142,3,3,3,6,6,8,9,9,15,16,16,16,17,17,21,21,21,21,21,21,21,21,21,21,21,21,21,1992
2971,7405456051,2,2,10,10,10,10,10,10,10,10,10,10,12,16,17,19,24,27,28,30,32,33,33,34,35,35,39,1992
3423,6701376975,1,1,2,6,9,9,9,9,9,10,10,13,22,22,23,23,23,25,25,25,27,27,30,30,31,35,35,1992
3704,55888273100,1,1,1,3,6,8,8,8,9,9,9,9,9,56,57,57,60,62,62,64,64,64,70,73,73,81,91,1992
4027,8909440200,2,2,2,2,3,3,3,3,3,3,3,3,7,9,9,10,12,15,16,17,17,17,17,17,20,22,22,1992
4437,6701630033,4,4,4,4,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1992
4749,7003638379,2,2,4,4,4,4,4,4,4,4,4,27,27,27,27,33,33,33,33,33,36,36,36,36,36,38,38,1992
4756,7003628036,3,9,9,10,16,16,16,21,24,26,27,30,42,45,47,51,51,51,53,54,57,57,57,58,58,59,59,1992
5384,55026725400,3,5,5,5,5,5,5,5,5,9,9,11,12,14,14,22,22,22,23,25,25,28,28,28,30,39,39,1992
5438,7005796864,1,1,2,10,10,10,20,20,20,24,26,27,29,31,40,40,40,40,40,40,40,40,40,40,40,40,40,1992
5673,7003654105,3,7,7,7,9,10,14,16,16,17,20,20,27,27,33,47,54,56,71,76,83,105,115,132,135,153,177,1992
5847,6506279603,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1992
6005,7004679521,2,2,2,2,2,17,26,27,31,32,48,48,57,71,76,77,89,90,95,99,100,111,121,123,123,126,127,1992
6144,7003440423,8,15,15,24,24,24,24,24,24,24,46,46,63,63,109,116,169,170,208,213,257,275,320,325,486,488,522,1992
6274,23004022500,2,3,3,3,3,3,4,8,11,16,18,23,27,32,37,55,59,65,72,79,83,87,92,97,109,118,130,1992
6424,6506193859,2,2,2,4,6,6,7,7,7,7,7,7,7,8,8,11,14,17,31,31,37,37,40,61,61,64,68,1992
7139,6602828964,1,2,4,5,7,9,10,13,13,14,14,26,29,38,41,46,47,52,52,55,61,76,80,83,85,98,100,1992
7179,6601931950,2,2,2,2,3,5,5,5,5,5,5,5,6,6,6,11,17,20,25,25,25,25,25,29,29,29,29,1992
7252,6603935992,1,2,4,4,5,5,5,5,6,8,8,10,29,30,31,36,38,38,38,42,42,42,46,46,64,65,65,1992
7454,7004152332,1,1,1,1,1,4,4,4,4,4,8,8,9,11,12,17,19,19,23,23,35,38,40,43,47,47,49,1992
7455,35606867000,6,6,6,9,14,17,19,19,21,21,22,22,23,25,32,32,32,32,32,35,39,39,40,40,40,40,40,1992
7802,7005692975,4,4,4,11,11,11,25,25,28,35,49,54,61,66,67,89,107,115,118,118,131,131,169,175,189,193,193,1992
8376,7003653678,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,7,8,8,8,1992
9151,7006199667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,11,11,11,11,11,11,11,1992
9357,6602268031,2,2,2,2,5,5,5,6,6,6,6,6,6,7,7,7,7,13,13,15,18,22,23,31,32,37,39,1992
9486,7004283294,2,3,3,5,5,7,7,9,9,9,9,11,11,11,11,11,12,13,13,13,17,17,17,17,17,17,17,1992
10375,7003849149,1,1,3,3,8,20,21,21,26,30,34,35,54,57,60,72,79,85,88,95,95,110,112,117,150,155,156,1992
10393,57199671186,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1992
10638,6603832921,3,3,3,3,9,10,13,13,14,15,18,19,21,21,33,36,38,40,46,48,63,64,66,69,71,73,77,1992
11094,7801614054,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,19,26,26,30,31,31,31,31,31,1992
11216,6602414466,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,1992
11689,6603957654,1,1,2,3,4,6,6,9,10,10,12,12,15,17,17,20,20,20,32,34,34,53,58,62,62,63,64,1992
12092,57203069180,2,2,2,2,2,2,2,3,4,5,5,9,11,11,12,12,15,18,20,27,29,50,68,71,71,72,72,1992
