Unnamed: 0,ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
658,6603626324,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5,5,5,5,9,12,12,13,17,1991
1166,7003359470,2,2,3,5,8,10,10,11,12,12,13,14,14,16,16,19,19,19,25,25,25,28,33,34,35,37,51,51,1991
1374,8840128300,1,3,3,3,3,3,3,3,4,4,5,5,5,5,9,9,9,9,9,9,10,12,12,12,14,14,14,18,1991
1465,35419245900,1,1,1,1,1,3,3,3,5,7,7,9,9,9,9,13,14,14,15,15,15,15,15,16,17,17,17,17,1991
1582,6701477047,3,3,3,3,5,9,9,9,9,15,16,18,21,24,24,24,25,30,36,36,36,37,37,41,41,41,41,41,1991
3024,15847883800,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,50,53,54,60,62,62,63,68,73,80,80,84,91,1991
3032,24352400300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1991
3279,6701355567,3,4,4,4,5,5,5,5,5,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,1991
3335,57204264625,2,2,2,3,3,3,3,4,4,4,4,4,4,4,6,10,24,46,52,56,60,64,67,88,95,99,104,106,1991
4012,6602140179,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,9,10,10,10,10,24,24,24,24,24,24,24,1991
4239,10043728600,1,1,1,1,1,1,1,1,1,15,15,15,15,31,31,51,51,92,92,96,96,119,119,131,131,152,152,156,1991
4583,7006188088,2,4,4,5,5,9,16,17,23,37,37,40,41,44,48,52,56,59,60,62,65,70,74,79,82,86,92,96,1991
4693,7103406595,1,1,1,5,5,7,7,8,9,13,13,13,30,48,54,54,70,70,93,93,93,93,93,93,93,93,93,93,1991
5171,55889178200,3,5,5,5,6,8,8,9,10,11,14,15,16,16,16,19,22,23,24,26,27,28,28,30,30,32,33,36,1991
5342,56219785400,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1991
5382,56080319800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1991
5426,35556600100,7,9,11,15,18,18,20,21,23,23,24,27,28,28,28,31,36,42,43,46,50,50,50,51,52,52,52,52,1991
5483,7003461177,3,3,3,3,6,6,6,9,11,12,12,14,14,14,14,14,14,14,14,17,17,17,17,17,18,18,18,18,1991
6878,6505762787,2,2,2,2,2,2,4,6,6,6,6,8,8,9,11,13,20,20,27,31,35,40,41,41,44,50,54,56,1991
7039,6701361987,1,1,4,5,5,6,9,15,24,25,25,26,28,29,31,31,31,34,34,35,35,45,45,47,50,55,55,55,1991
7287,35519052300,5,5,5,5,10,10,10,10,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1991
7901,56284113400,3,4,4,4,5,5,8,8,9,10,10,13,13,14,14,16,16,27,27,41,44,47,49,55,138,152,155,163,1991
8210,8961540500,1,1,1,1,3,3,3,3,3,3,3,3,3,6,7,7,12,13,13,14,14,16,16,19,30,31,31,31,1991
8897,6603047564,3,3,3,4,7,7,7,7,7,7,7,7,7,7,7,7,12,12,12,12,12,12,13,19,19,19,19,21,1991
9765,6602641192,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1991
10434,7202889576,3,3,3,3,14,14,14,14,14,14,18,18,24,29,39,59,63,63,70,70,79,84,86,86,89,89,91,91,1991
10564,55928644100,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,1991
10945,23398770700,1,1,1,4,4,4,4,4,4,5,7,7,7,7,7,8,9,9,9,12,13,13,14,14,14,14,14,16,1991
11124,16153643400,4,4,8,8,8,8,8,8,10,10,17,23,24,26,28,28,28,30,31,31,31,31,31,31,31,35,38,38,1991
11319,6603678163,1,1,1,1,1,1,3,3,3,5,6,7,8,8,8,8,9,9,10,11,11,11,11,11,11,11,11,11,1991
11448,7006171141,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,1991
11494,6701484724,6,6,6,35,35,40,40,40,40,40,40,46,57,57,57,57,57,57,63,72,72,72,72,72,72,72,72,72,1991
11682,7004325075,1,5,6,10,11,14,15,15,15,15,15,15,18,27,28,28,30,36,56,60,62,62,65,65,68,68,70,70,1991
11686,12758202300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1991
11719,6701577560,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,1991
11948,7102835649,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1991
12762,55884701300,1,1,1,1,1,1,2,2,2,2,2,8,8,13,15,21,31,33,33,37,39,43,47,53,55,55,58,60,1991
13026,6602304761,2,4,4,4,4,4,4,4,4,6,8,8,8,13,15,15,15,15,15,15,18,18,23,24,25,25,25,25,1991
13571,57204983787,1,1,1,1,1,1,1,1,1,4,4,4,4,6,6,6,9,9,9,10,10,12,12,12,12,12,12,12,1991
13602,35581113700,1,1,1,1,1,2,2,5,5,5,10,10,10,10,11,13,13,24,30,36,39,41,52,58,62,62,62,65,1991
14663,6603593134,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1991
14695,7005998835,1,2,3,5,7,11,16,18,22,25,29,31,36,36,40,40,40,42,42,42,45,48,48,48,57,62,62,63,1991
16469,7101812348,4,6,7,11,17,19,26,31,36,41,47,54,64,68,71,82,90,94,98,106,112,122,132,134,138,142,145,149,1991
16490,6701445133,2,2,2,6,10,11,11,11,11,11,11,15,16,16,17,20,21,21,23,35,35,35,37,37,39,39,45,48,1991
17170,56030767800,3,3,3,3,3,3,3,3,3,5,5,6,6,6,6,8,8,9,9,9,9,9,9,10,10,10,10,12,1991
17208,6603295765,1,1,1,1,1,1,1,1,6,6,6,6,6,6,11,11,32,32,41,41,43,47,47,63,63,64,64,72,1991
17280,7006706324,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1991
17953,56251866400,2,5,7,8,11,11,16,19,22,27,28,28,32,38,39,41,44,48,50,50,50,57,64,67,67,67,69,70,1991
