Unnamed: 0,ID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
34,7005865095,6,6,6,6,6,6,6,6,6,6,6,8,2007
68,23008692200,43,43,62,62,62,62,62,62,62,62,62,62,2007
92,7103065327,3,3,3,3,12,12,12,21,34,34,36,36,2007
102,24469712500,4,6,6,9,11,11,14,14,15,15,15,15,2007
110,18437015900,2,2,2,2,2,2,2,2,2,2,2,2,2007
145,57204345850,3,3,3,6,6,6,6,7,13,16,16,16,2007
168,55715631800,4,4,4,4,4,4,4,4,4,4,4,4,2007
169,23100304500,9,9,9,9,9,9,9,9,9,9,9,9,2007
186,56030195400,4,4,4,4,4,4,4,4,4,4,4,4,2007
190,26767632400,1,1,1,1,1,1,1,1,1,1,1,1,2007
214,57194907127,5,5,5,5,5,5,5,5,5,5,5,5,2007
271,26026181500,2,2,3,6,6,6,9,9,9,9,9,9,2007
283,23984606900,3,3,3,3,3,3,3,3,3,3,3,3,2007
289,16178095900,1,1,1,1,1,1,1,1,1,1,1,1,2007
300,24722993500,2,2,2,2,2,2,2,2,2,2,2,2,2007
317,55738721200,2,2,5,5,5,5,5,5,5,5,5,5,2007
321,23397629300,3,3,4,4,4,4,4,4,4,4,4,4,2007
328,8319802300,4,6,6,6,6,6,6,6,6,6,6,6,2007
348,8552286100,1,1,1,1,1,1,1,7,7,7,7,7,2007
361,6507778855,7,7,7,7,7,60,60,60,60,60,60,60,2007
372,16417168600,1,1,1,1,1,1,1,1,1,1,1,1,2007
436,37091242100,13,13,13,13,13,13,13,13,13,13,13,13,2007
449,55912445100,5,5,5,5,5,5,5,5,5,5,5,5,2007
477,22940989000,2,2,2,2,2,2,2,2,2,2,2,2,2007
538,23006340400,3,3,3,3,3,3,3,3,3,3,3,3,2007
594,7005170650,1,1,1,1,1,1,1,3,8,8,11,11,2007
624,54985679700,6,6,6,6,6,6,6,6,6,6,6,6,2007
664,9744913000,6,6,6,6,6,6,6,6,6,6,6,6,2007
706,6507589105,4,4,4,4,4,4,4,4,4,4,4,4,2007
739,7003876431,17,17,17,17,17,17,17,17,17,17,17,17,2007
779,13106009800,65,65,65,65,65,65,65,65,65,65,65,65,2007
783,16204410100,1,1,1,1,1,1,1,1,1,1,1,1,2007
813,35601922700,4,4,18,18,24,24,24,24,24,24,24,24,2007
820,55867065700,15,15,15,15,15,15,15,15,15,15,15,15,2007
824,34770243100,12,12,12,12,12,15,15,15,15,15,15,15,2007
826,56248584000,4,4,4,4,4,4,4,4,4,4,4,4,2007
846,6603312833,1,4,4,4,4,4,4,4,4,4,4,4,2007
