Unnamed: 0,ID,2012,2013,2014,2015,2016,2017,2018,start_year
10,7401970635,12,12,12,12,12,12,12,2012
19,36634548900,4,9,9,9,9,9,9,2012
37,7003494205,4,4,4,4,4,4,4,2012
49,6602726745,3,3,3,3,3,3,3,2012
52,54581742800,5,5,5,5,5,5,5,2012
56,35226280500,3,3,3,3,3,3,3,2012
77,55639540400,3,3,3,3,5,5,5,2012
122,7007166540,9,9,9,9,9,9,9,2012
124,55146647600,4,4,11,11,13,13,13,2012
125,56340131200,56,62,71,71,71,71,71,2012
150,55684446500,2,2,2,2,2,2,2,2012
176,12902713100,1,1,1,1,1,1,1,2012
185,6701714180,59,69,69,69,69,69,69,2012
191,56016849700,3,3,3,3,3,3,3,2012
205,35501435900,7,7,7,7,7,7,7,2012
224,54407250400,3,4,4,6,6,6,6,2012
229,6603196991,8,8,8,8,8,8,8,2012
235,55390131000,2,2,2,2,2,2,2,2012
236,55782145400,22,22,22,22,22,22,22,2012
250,56396941400,2,2,2,2,2,2,2,2012
255,55352471100,1,1,1,1,1,1,1,2012
264,8915683900,4,4,4,4,4,4,4,2012
276,55811800700,4,4,4,4,4,4,4,2012
287,16027501900,23,23,23,23,23,23,23,2012
294,56937806800,7,7,7,7,7,7,7,2012
336,7004632677,4,4,20,23,24,24,24,2012
361,24335475600,7,10,10,10,10,15,15,2012
390,44061145500,7,7,7,7,7,7,7,2012
412,9436849500,3,3,24,24,29,29,29,2012
429,57199066122,39,39,72,72,72,72,72,2012
444,23005317000,7,7,7,7,7,7,7,2012
447,55995655700,2,2,2,3,3,7,17,2012
461,6603838207,7,16,16,16,16,16,16,2012
503,55336597100,2,2,2,4,4,4,4,2012
533,12242450800,2,3,3,3,7,7,7,2012
540,6604021227,4,4,4,4,4,4,4,2012
542,8937681800,6,6,6,6,7,7,7,2012
553,26644135200,5,5,5,5,5,5,5,2012
556,7004022711,26,32,32,32,32,32,32,2012
569,26031071400,4,4,4,4,4,4,4,2012
575,55053435400,1,1,1,1,2,2,2,2012
598,26430697600,8,8,8,8,8,8,8,2012
627,35226710600,5,5,5,5,5,5,5,2012
632,24329996300,7,7,7,7,7,7,7,2012
664,8972649800,3,3,3,3,3,3,3,2012
667,55485940200,4,4,6,6,6,6,6,2012
718,23476362800,4,4,4,4,4,9,9,2012
742,57201517140,4,4,4,4,4,4,4,2012
753,57199531976,6,6,6,6,6,6,6,2012
799,55371568400,2,2,3,4,4,4,4,2012
802,57196881113,3,3,3,3,3,3,3,2012
888,55547464700,3,4,4,4,4,4,4,2012
889,6602654044,11,11,11,26,33,33,33,2012
898,36190330500,4,4,4,4,4,4,4,2012
935,55552789100,27,27,27,27,27,27,27,2012
943,57147796200,4,4,4,4,4,4,4,2012
945,54396240700,2,2,2,23,23,23,23,2012
954,7004736287,14,17,17,17,43,43,43,2012
1013,53877668500,2,2,3,3,3,3,3,2012
1016,55387308700,4,4,4,4,4,4,4,2012
1021,14044821700,3,3,3,8,11,14,14,2012
1025,55553679000,7,7,7,7,7,7,7,2012
1036,35423489200,3,3,3,3,3,3,3,2012
1048,56603526600,6,6,6,6,6,6,6,2012
1059,35750932500,4,4,4,4,4,4,4,2012
1066,7004889724,16,16,16,16,64,64,89,2012
1070,57203105218,5,5,5,5,5,7,7,2012
1085,57202654476,6,6,7,7,7,7,9,2012
1100,55372565100,4,4,4,4,4,4,4,2012
1145,6602823587,6,6,6,6,6,7,7,2012
1165,35769262000,12,12,12,12,12,12,12,2012
1177,6504271292,2,2,2,2,2,2,2,2012
1195,9740792600,6,6,8,31,34,38,38,2012
1211,55566867200,2,2,2,2,2,2,2,2012
1227,35366144000,4,4,4,4,4,4,4,2012
1228,55628527677,6,6,6,6,6,6,6,2012
1249,24468168900,3,3,3,3,3,3,3,2012
1334,7403530725,42,42,42,42,42,42,42,2012
1363,23019496400,3,3,3,3,3,3,3,2012
1364,7006457163,3,3,4,4,4,4,4,2012
1379,53265204800,2,2,2,2,2,2,2,2012
1404,55545451400,2,2,2,2,2,4,6,2012
1406,6506961099,7,7,7,7,7,7,7,2012
1416,55509195900,3,3,3,5,5,5,11,2012
1432,24335297300,7,7,7,7,7,7,7,2012
1442,55522702200,3,3,3,3,3,3,3,2012
1446,55498650000,4,5,5,5,5,5,5,2012
1491,13406989600,10,10,10,10,10,10,10,2012
1539,55355619500,2,3,4,4,4,5,7,2012
1599,55360370700,4,4,4,4,4,4,4,2012
1607,55279330500,4,4,4,4,4,4,4,2012
1669,7004053328,12,22,31,46,46,46,46,2012
1701,36766802500,6,6,6,7,7,7,7,2012
1714,56226169900,4,4,4,4,4,4,4,2012
1736,55248308500,1,1,3,3,4,4,4,2012
1739,36570451600,2,2,7,7,7,7,7,2012
1751,56177745300,17,17,17,17,17,17,17,2012
1758,6507491363,5,5,5,6,6,10,10,2012
1761,25948283000,2,2,2,2,2,2,2,2012
1809,55332834100,3,3,4,4,4,4,4,2012
1813,22951839000,6,9,9,9,9,9,9,2012
1860,6506196218,8,8,8,8,8,8,8,2012
1861,7004391933,6,6,6,6,6,6,6,2012
1902,56023454200,3,3,3,3,3,3,3,2012
1937,55705504500,6,6,6,6,6,6,6,2012
1941,55001822400,10,10,10,10,10,10,10,2012
1947,7004464530,46,63,63,63,63,63,63,2012
1965,55575856300,23,23,23,23,23,23,23,2012
1972,57192812164,5,5,5,5,5,5,5,2012
1982,55227857800,2,2,2,2,2,2,2,2012
1996,36666791400,26,26,26,29,36,36,36,2012
2002,7005984473,54,54,125,125,125,125,125,2012
2004,24725611200,2,2,5,5,6,6,10,2012
2016,57200513432,3,3,7,7,7,7,7,2012
2061,56731825000,2,2,2,4,4,4,4,2012
2079,36682161100,5,5,5,5,5,5,5,2012
2161,14017585800,11,11,11,11,11,11,11,2012
2164,55440105200,1,1,1,1,1,1,1,2012
2167,35770021700,7,23,23,23,23,23,23,2012
