Unnamed: 0,ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
1,7004267341,10,10,10,10,16,16,16,16,16,16,16,2008
13,24386037000,1,1,1,1,1,1,1,3,3,6,6,2008
25,56937882200,5,5,5,5,5,5,5,5,5,5,5,2008
34,25628233000,3,3,3,3,7,7,7,7,7,7,7,2008
42,25222870300,1,1,1,1,1,1,1,1,1,1,1,2008
83,36164894300,2,2,2,2,2,2,2,2,5,13,13,2008
120,26664481000,1,3,3,3,5,25,40,44,48,56,58,2008
132,25630274200,5,5,5,5,9,9,9,9,9,9,9,2008
137,6602531058,5,5,5,5,5,5,5,5,5,5,5,2008
150,6603477323,9,9,9,9,9,9,9,9,9,9,9,2008
175,24821884600,5,5,7,7,7,7,7,7,7,7,7,2008
181,36634726700,2,2,2,2,2,2,2,2,2,2,2,2008
197,25925271900,1,1,2,2,2,2,2,2,2,2,2,2008
226,26429280500,2,4,4,4,6,6,6,6,6,10,10,2008
262,23091570600,4,4,7,7,7,7,7,7,7,7,7,2008
263,15842015600,3,3,3,3,3,7,9,9,9,11,11,2008
271,25628571400,5,5,5,5,5,5,5,5,5,5,5,2008
276,25825575400,3,3,10,10,10,10,10,11,11,11,11,2008
284,55311855200,5,5,5,5,5,5,5,5,5,5,5,2008
295,23974111700,3,3,5,8,12,12,13,13,18,19,19,2008
312,24821358600,4,4,4,4,4,4,4,4,4,4,4,2008
340,55460736000,15,15,15,15,15,15,15,15,15,15,15,2008
342,36978855700,18,18,18,18,18,18,18,18,18,18,18,2008
348,35593811100,1,1,1,1,1,1,1,1,1,1,1,2008
371,6701690859,1,5,6,8,8,11,11,11,14,14,14,2008
377,52863956700,2,2,2,2,2,2,2,2,2,2,2,2008
386,6507601911,9,12,14,14,14,14,14,14,14,14,14,2008
434,26657137800,1,1,1,1,1,1,3,3,3,3,4,2008
448,26435136200,3,3,4,5,5,9,12,14,14,14,14,2008
498,25655229400,5,5,5,5,5,5,5,11,11,11,11,2008
520,23990008400,3,3,3,3,3,3,3,7,7,9,9,2008
547,14018246700,11,11,11,11,11,11,11,11,11,11,11,2008
678,56888636300,3,4,12,18,19,26,26,26,35,68,72,2008
683,15061717900,3,3,3,3,3,3,3,3,3,3,3,2008
708,26657654200,5,6,6,6,6,6,6,6,6,6,6,2008
711,7202855332,5,5,5,5,5,5,5,5,5,5,5,2008
739,6602919670,5,5,5,5,5,5,5,5,5,5,5,2008
750,25638577600,3,3,6,6,7,7,7,7,13,13,13,2008
772,35101716000,6,6,6,6,6,6,6,6,6,6,6,2008
781,26430656900,2,2,2,2,2,2,2,8,8,8,8,2008
787,35548863600,7,15,15,15,15,18,18,18,42,42,42,2008
817,35173644200,24,24,24,24,24,24,24,24,24,24,24,2008
822,7006736906,2,3,3,3,3,3,3,3,3,3,3,2008
870,8926076800,1,1,3,3,3,7,8,8,10,14,14,2008
877,8840968000,6,6,6,6,6,6,6,6,6,6,6,2008
904,7004272853,9,9,9,9,9,9,9,9,9,9,9,2008
909,36663574200,5,5,5,5,5,5,5,5,5,5,5,2008
992,23979328600,2,2,2,2,2,2,2,2,2,2,2,2008
999,35726709600,1,1,4,4,4,4,4,4,4,4,4,2008
1049,57196282050,2,2,2,2,2,2,2,2,2,2,2,2008
1052,6507104741,58,58,58,58,117,117,121,121,122,122,204,2008
1059,35239828200,4,4,4,4,4,4,4,4,4,4,4,2008
1072,26430954400,4,6,7,7,7,7,7,7,7,7,7,2008
1075,7004753693,2,2,2,2,2,2,2,2,2,2,2,2008
1082,24831715800,1,2,20,23,24,24,24,24,33,36,39,2008
1096,25027110000,5,6,9,12,14,14,18,18,18,18,18,2008
1112,6701492456,4,4,6,7,7,7,7,7,11,11,11,2008
1113,25960338400,2,4,4,4,5,6,6,8,8,8,8,2008
1115,25929125800,8,10,10,16,20,21,21,21,21,21,21,2008
1156,24823824900,6,7,9,9,9,9,9,9,9,9,9,2008
1170,9739808000,8,8,8,8,8,8,8,8,8,8,8,2008
1173,57188678139,3,3,3,3,3,3,3,3,3,3,3,2008
1183,25937377900,3,3,3,3,3,3,3,3,3,3,3,2008
1184,8220362200,2,2,2,2,2,2,2,2,2,2,5,2008
1196,24483480100,5,5,5,5,5,5,5,5,5,5,5,2008
1230,6603346374,3,3,3,3,3,3,3,3,3,3,3,2008
1255,55321729600,12,12,12,12,12,12,12,12,12,12,12,2008
1288,22940544900,2,2,2,2,2,2,2,2,2,2,2,2008
1301,6602468821,15,15,15,15,15,15,15,15,15,15,15,2008
1303,25031004400,4,4,4,4,4,4,4,4,4,4,4,2008
1319,57203766093,5,5,5,5,5,5,5,5,5,5,5,2008
1327,24341747200,5,5,5,5,5,5,5,5,5,5,5,2008
1340,36944163800,3,3,3,3,3,3,3,3,3,3,3,2008
1354,6603865406,1,1,1,1,1,1,1,1,1,1,1,2008
1356,56538603500,3,3,3,3,3,3,3,3,3,3,3,2008
1392,7103266173,7,7,7,19,19,19,19,19,19,19,19,2008
1404,25630447700,4,4,4,4,4,4,4,4,4,4,4,2008
1416,23470031300,3,3,3,3,3,3,3,3,3,3,3,2008
1423,21934214100,5,5,5,7,7,7,11,11,11,11,11,2008
1482,25640669400,19,19,19,19,19,19,19,19,19,19,19,2008
1487,7201645712,5,5,5,5,5,5,5,5,5,5,5,2008
1499,8970612300,8,8,8,8,8,8,8,8,8,8,8,2008
1514,24512790600,30,31,45,52,55,74,92,117,117,117,117,2008
1526,57002540900,4,4,4,4,4,4,4,4,4,4,4,2008
1547,24833470700,47,47,57,57,57,57,57,57,57,57,57,2008
1549,25640722400,2,4,14,17,17,22,22,22,22,22,22,2008
1571,6506554937,2,2,2,2,2,2,2,2,2,2,2,2008
1592,7003833968,7,9,20,22,22,28,32,35,35,40,43,2008
1605,16644800700,4,4,4,4,4,4,4,4,4,4,4,2008
1613,6603775875,13,13,13,13,13,13,13,13,13,13,13,2008
1664,57193414878,25,25,39,74,91,91,97,97,97,97,97,2008
1673,37087258700,12,13,13,28,30,38,39,39,39,39,39,2008
1721,25654584200,3,3,3,3,3,3,3,3,3,3,3,2008
1724,16039214100,4,4,4,4,4,4,4,4,4,4,4,2008
1726,24437521400,3,3,3,3,3,3,3,3,3,3,3,2008
1740,24481486100,2,2,2,2,2,2,2,2,2,2,2,2008
1763,24764508100,2,17,18,18,19,20,20,22,22,22,22,2008
1777,8315063100,5,5,5,5,5,5,5,5,5,5,5,2008
1789,24830297600,1,27,27,27,27,27,27,27,27,27,27,2008
1806,24922972300,4,4,4,4,4,4,4,4,4,4,4,2008
1811,16640460600,4,4,4,4,4,4,4,4,4,4,4,2008
1823,57201068637,2,2,2,2,2,4,5,5,5,5,5,2008
1841,6602224075,6,6,6,6,6,6,6,6,6,6,6,2008
1842,40762128600,4,7,7,7,7,7,7,7,7,7,7,2008
1862,7003785403,10,10,10,12,12,12,12,12,12,12,12,2008
1871,8677756400,1,1,1,1,1,1,1,1,1,1,1,2008
1954,23391630800,1,1,5,5,5,5,5,5,5,5,5,2008
1986,6603137301,11,11,22,22,22,22,22,22,22,22,22,2008
2011,23004849100,2,2,2,2,5,5,5,5,5,5,5,2008
2041,7005037128,3,3,3,3,3,6,7,9,9,9,9,2008
2052,12141738700,4,9,9,9,9,9,9,9,9,9,9,2008
2069,6508317879,10,10,10,10,10,10,10,10,10,10,10,2008
2103,6507592470,8,14,14,14,14,14,14,14,32,32,32,2008
2115,6603385761,5,5,5,5,5,5,16,20,20,20,20,2008
2201,24464860900,62,62,69,77,77,77,77,77,77,78,78,2008
2209,25927774800,3,3,4,4,5,5,10,10,15,16,17,2008
2236,8241673300,2,2,2,2,2,2,2,2,2,2,2,2008
2241,14631760400,4,4,4,4,4,4,4,4,4,4,4,2008
2244,55998831700,6,6,6,6,9,12,12,14,16,18,18,2008
2281,7006156483,15,15,15,15,15,15,15,19,19,19,19,2008
2329,55886699400,5,8,8,8,8,19,19,19,19,19,19,2008
2368,6602730429,5,8,8,10,16,20,21,21,21,25,25,2008
2375,13411188300,5,5,5,5,5,5,9,9,9,9,9,2008
2388,35957030400,7,7,7,7,7,7,7,7,7,7,7,2008
2410,9840413900,74,74,74,74,74,74,74,74,91,91,91,2008
2423,8293766600,3,3,3,3,3,3,3,3,3,3,3,2008
2431,24778639600,2,3,3,3,3,3,3,3,3,3,3,2008
2482,8219591600,6,6,6,17,17,17,17,24,24,24,24,2008
2489,6508220332,1,1,1,1,1,1,2,2,6,6,6,2008
2492,7402059027,22,22,22,22,22,22,22,22,22,22,22,2008
2500,27167536300,8,11,12,12,12,12,12,12,12,12,12,2008
2550,55311351200,5,5,5,5,5,5,5,5,5,5,5,2008
2570,57196839181,3,3,3,3,3,3,3,3,3,3,3,2008
2576,55872652000,2,2,2,2,2,2,2,2,2,2,2,2008
2588,34167661900,4,4,4,4,4,4,4,4,4,4,4,2008
2592,6603563139,5,5,5,5,5,5,5,5,5,5,5,2008
2603,34770800900,3,6,6,6,6,6,6,6,6,6,6,2008
2635,35329833900,15,15,30,30,30,30,30,30,30,30,30,2008
2637,35100834800,3,3,3,3,3,3,3,3,3,3,3,2008
2686,35581770400,3,3,3,3,3,5,5,5,5,5,5,2008
2693,25929020000,3,3,3,3,3,3,3,3,3,3,3,2008
2697,26424314100,2,18,18,18,20,22,22,22,22,22,22,2008
2698,24767182500,2,2,2,2,2,2,2,2,2,2,2,2008
2705,7005139298,10,10,16,17,17,17,24,24,24,24,24,2008
2719,24332545900,1,1,1,1,1,1,1,1,1,1,1,2008
2733,7004603471,4,4,4,4,6,6,6,6,6,8,8,2008
2752,26658520700,6,6,6,6,6,6,6,6,6,6,6,2008
2774,14819488700,9,9,9,9,9,9,9,9,9,9,9,2008
2775,36832635500,5,8,9,9,11,11,14,14,14,14,14,2008
2792,36571597000,18,18,43,54,62,62,62,62,62,62,62,2008
2812,14029024800,5,5,5,5,5,5,5,5,5,5,5,2008
2837,6603964872,6,7,7,7,7,7,14,14,16,16,16,2008
2854,15061886800,4,4,4,4,4,4,4,4,4,4,4,2008
2865,57194691438,4,4,4,4,13,13,13,13,13,13,13,2008
2915,6602746389,1,1,1,1,1,1,1,1,4,4,4,2008
2981,9943874600,1,1,1,1,1,1,1,1,1,1,1,2008
3005,6602309097,4,11,11,11,11,11,11,11,11,11,11,2008
3006,36124790200,3,3,5,11,15,16,16,19,21,24,26,2008
3007,56538346300,7,7,7,7,7,7,7,7,7,7,7,2008
3021,6701798270,22,22,22,22,22,27,27,27,27,27,27,2008
3057,55939317500,26,26,26,26,26,26,26,26,26,26,26,2008
3061,24341220400,4,4,4,4,4,6,6,6,7,7,7,2008
3068,6507128801,7,7,7,7,7,7,7,7,7,7,7,2008
3099,22234953600,5,5,5,5,5,5,5,5,5,5,5,2008
3108,7005646125,4,4,4,4,4,4,4,4,4,4,4,2008
3110,7402496759,5,5,5,5,5,5,5,5,5,5,5,2008
3111,56230567600,48,48,48,48,48,48,48,48,48,48,48,2008
3121,24492093300,1,1,1,1,1,1,1,1,1,1,1,2008
3122,27067595100,3,3,3,3,3,3,3,3,3,3,3,2008
3128,25924987400,4,4,4,4,4,4,4,4,4,4,4,2008
3131,25654812500,8,8,8,8,8,8,8,8,8,8,8,2008
3149,7801452346,1,1,1,1,5,5,5,5,6,6,6,2008
3189,7006345844,5,13,13,13,15,15,20,20,20,24,24,2008
3195,26324749800,2,2,2,2,2,2,2,2,2,2,2,2008
3223,25823159700,2,2,5,14,14,14,14,14,14,14,14,2008
3268,25960923000,1,1,1,1,1,1,1,1,1,1,1,2008
3269,23395962200,5,8,8,8,8,8,8,8,8,8,8,2008
3298,25822460800,5,5,5,5,5,5,5,15,15,15,15,2008
3332,7003713925,8,8,8,8,8,8,8,8,8,8,8,2008
3334,57203053081,14,14,22,23,23,23,23,23,23,23,23,2008
3347,55472982200,4,4,4,4,4,4,4,4,4,4,4,2008
3354,14070810800,5,5,37,37,37,37,37,37,37,37,37,2008
3361,26767962900,3,4,4,4,4,5,6,6,9,9,9,2008
3363,6507278898,3,3,3,3,3,3,3,3,3,3,3,2008
3386,56410726300,9,10,10,10,10,10,10,10,10,10,10,2008
3396,35618719900,2,2,9,9,9,14,14,14,14,14,14,2008
3417,28568083900,3,3,3,3,3,3,3,3,3,3,3,2008
3419,24777894300,2,3,3,3,8,8,12,13,15,19,21,2008
3421,25028786800,2,2,2,2,2,2,2,2,2,2,2,2008
3422,7403508300,2,2,2,2,2,2,2,2,2,2,2,2008
3471,7006764938,4,4,4,4,4,4,4,4,4,4,4,2008
3481,15137567000,5,5,5,5,5,5,5,5,5,5,5,2008
3482,24822571500,2,5,5,10,10,10,10,10,13,17,17,2008
3529,26639112100,35,35,35,35,35,35,35,35,35,35,35,2008
3547,56235309600,3,3,3,4,6,7,7,8,9,9,9,2008
3555,24723534700,7,13,13,13,20,20,20,20,20,20,20,2008
3575,6602295414,5,5,5,5,5,5,6,6,6,6,6,2008
3577,6701851845,3,3,3,3,3,3,22,36,36,36,40,2008
3594,7005719707,9,9,9,9,9,9,9,9,9,9,9,2008
3723,24070111000,4,4,4,4,4,4,4,4,4,4,4,2008
3735,8945689400,2,2,3,3,3,3,3,3,3,3,29,2008
