Unnamed: 0,ID,2017,2018,start_year
8,56523160100,6,6,2017
45,57193437031,5,5,2017
56,57201405140,15,15,2017
94,57193831201,6,6,2017
99,57190680369,3,3,2017
101,55838510332,5,5,2017
106,54385399300,6,6,2017
118,57196516104,2,2,2017
178,54419904100,4,4,2017
189,57197787536,1,1,2017
191,7006513449,3,3,2017
198,57193088194,4,4,2017
201,7003321707,3,3,2017
212,8974048100,17,17,2017
215,57203379822,4,4,2017
249,57193448950,3,3,2017
251,55259071200,8,8,2017
252,8517464000,27,27,2017
258,6506345528,3,3,2017
279,56223055000,20,20,2017
281,26025571400,5,5,2017
304,57196216997,6,6,2017
337,6603480856,2,2,2017
339,57196247566,3,3,2017
345,57200071649,17,17,2017
346,35430042600,6,6,2017
380,56083293900,14,14,2017
381,6602553055,2,2,2017
411,24170805000,4,4,2017
414,35848858900,38,38,2017
426,57195685840,28,40,2017
429,36172704800,21,21,2017
446,57194278954,5,5,2017
452,19337532100,29,29,2017
467,56411920100,13,13,2017
522,57198820650,4,4,2017
534,57193652514,5,5,2017
542,35424413500,9,26,2017
562,57196194669,4,4,2017
578,57195504582,6,6,2017
605,6504010163,7,13,2017
636,55937054700,34,34,2017
638,57201120477,3,3,2017
648,57200165239,4,6,2017
657,7401653270,8,8,2017
665,57199212073,10,10,2017
719,6602549287,8,8,2017
722,22835500500,17,17,2017
759,55613312700,6,6,2017
763,54792767800,7,7,2017
770,57193666554,3,3,2017
777,57197837651,3,5,2017
797,35937644700,7,7,2017
800,22134311400,5,5,2017
808,54881975600,2,2,2017
811,57200257905,2,4,2017
826,57195549010,2,2,2017
835,57195245709,4,4,2017
858,56489810900,2,5,2017
875,57202013381,5,5,2017
895,57194656359,23,23,2017
910,57195532898,2,4,2017
929,56717764600,4,4,2017
945,35772298600,7,7,2017
958,6701652404,2,2,2017
982,57201905011,2,2,2017
1002,57191382777,2,2,2017
1005,26656011800,4,4,2017
1011,54785299800,2,2,2017
1028,56845738100,10,10,2017
1032,57193706236,4,4,2017
1044,57195641275,3,3,2017
1062,57195148240,5,5,2017
1126,36020849500,9,13,2017
1155,57193668892,3,3,2017
1179,55642871600,2,2,2017
1180,55195600600,3,3,2017
1187,57120007000,3,3,2017
1201,16307679400,27,27,2017
1211,56429699600,1,1,2017
1246,57200504901,6,6,2017
1251,56389226300,5,5,2017
1257,57196190739,3,8,2017
1290,55431373200,4,6,2017
1296,57197293765,9,9,2017
1297,57200553572,2,2,2017
1300,57189729895,39,43,2017
1311,26532134800,2,2,2017
1315,57190215418,5,5,2017
1318,57194207869,5,5,2017
1326,55255344600,2,2,2017
1329,6504825500,5,5,2017
1344,36069960100,8,8,2017
1355,57191870597,6,6,2017
1382,57197787406,12,12,2017
1390,57201300541,3,3,2017
1400,7403506666,13,13,2017
1410,8988880800,2,2,2017
1421,57000424800,2,2,2017
1424,56912295400,10,10,2017
1452,57194784857,4,4,2017
1456,57204225272,4,4,2017
1457,57200319939,7,7,2017
1496,57194633273,10,10,2017
1513,57193801918,5,5,2017
1530,56528299800,2,2,2017
1531,7801541269,7,7,2017
1536,12762570700,6,6,2017
1542,24824052300,27,27,2017
1550,6701478237,8,8,2017
1569,16204149800,13,13,2017
1579,7004683246,6,6,2017
1586,18633549200,21,21,2017
1590,57200598235,6,6,2017
1618,35206654500,3,3,2017
1620,56373438900,1,1,2017
1638,57196327637,2,2,2017
1649,36697283500,4,4,2017
1661,57193153428,3,3,2017
1662,55950359000,6,6,2017
1666,6601955173,8,8,2017
1670,56702274900,7,7,2017
1684,57194083886,3,3,2017
1729,56815132900,3,3,2017
1732,55818826500,3,3,2017
1754,23976822200,12,12,2017
1775,23096778100,7,9,2017
1784,57204357968,3,3,2017
1786,56414525200,15,15,2017
1800,56909330500,1,1,2017
1833,16303888200,2,2,2017
1852,56444380200,3,3,2017
1863,57193751943,3,5,2017
1880,57191914461,17,17,2017
1888,6603068537,4,4,2017
1920,35107064300,2,2,2017
1927,6602237420,5,5,2017
1935,56888182800,3,3,2017
1948,6507093489,5,5,2017
1951,57188666556,3,3,2017
1964,7801420369,12,12,2017
1971,50262996800,11,11,2017
1993,57193774207,5,5,2017
1998,24069736100,8,18,2017
2007,55845831600,25,25,2017
2024,56413029300,9,9,2017
2033,8944018200,3,3,2017
2039,36941060000,8,8,2017
2078,57195265252,6,6,2017
2090,13606225400,5,5,2017
2093,36847107700,9,14,2017
2101,35078364000,3,3,2017
2102,56779888200,3,3,2017
2106,23490356200,5,5,2017
2111,7005986573,4,4,2017
2122,8518669600,4,4,2017
2133,55734981200,5,5,2017
2136,36701835800,4,4,2017
2140,16238894800,6,6,2017
2147,6504148828,3,3,2017
2150,57196475352,3,3,2017
2159,7102945187,4,31,2017
2185,7201452882,2,2,2017
2187,57194202669,3,5,2017
2214,56407070700,6,8,2017
2225,57202536982,4,11,2017
2248,55137410200,11,11,2017
2259,23090829200,3,4,2017
2262,9433671800,1,1,2017
2286,56401819300,5,5,2017
2291,57194651320,5,5,2017
2310,56868557800,2,3,2017
2314,57199057238,5,5,2017
2320,57190808093,14,30,2017
2330,55328694600,23,23,2017
2348,24825489700,5,5,2017
2349,7201394107,5,5,2017
2371,57195324089,3,3,2017
2383,57200306287,1,1,2017
2414,23993348100,6,9,2017
2417,57200511600,3,3,2017
2422,6507385075,4,4,2017
2463,57195492127,4,4,2017
2466,56495431000,4,4,2017
2477,57193713313,16,16,2017
2495,57191278839,3,3,2017
2508,56765215700,17,17,2017
2515,7006655065,25,25,2017
2527,6506894858,5,5,2017
2534,57193859122,4,4,2017
2540,7102048580,14,14,2017
2542,57194033547,1,1,2017
2559,35847863800,14,14,2017
2563,7801515783,8,8,2017
2566,55386682400,4,6,2017
2569,55808378700,3,3,2017
2577,57160027800,4,4,2017
2582,57194587156,5,5,2017
2597,39261426700,6,6,2017
2598,54894497100,6,6,2017
2601,55545861200,3,3,2017
2613,57200220523,7,7,2017
2614,57194975259,8,8,2017
2619,6602674641,10,11,2017
2648,55243168600,6,6,2017
2652,56784600600,6,6,2017
2692,7004194786,12,12,2017
2712,8510851800,3,3,2017
2729,56604799100,3,4,2017
2750,57072410100,4,4,2017
2793,57191843424,5,5,2017
2797,57195264190,3,22,2017
2804,57196403059,4,9,2017
2840,6602886684,1,1,2017
2863,24503028500,36,36,2017
2877,56192834500,4,5,2017
2880,55672129800,30,30,2017
2888,57188724280,3,3,2017
2900,57193508280,5,5,2017
2904,55961894100,12,12,2017
2943,13406373500,5,12,2017
2951,15833551000,2,2,2017
2957,7102506029,2,2,2017
2973,57202693317,4,5,2017
2979,56888430400,5,5,2017
3008,57191341690,2,2,2017
3032,57194634092,3,3,2017
3033,57197732433,9,9,2017
3039,35723402500,5,5,2017
3047,55903750100,16,16,2017
