Unnamed: 0,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
96,7005295515,2,4,4,6,6,10,10,10,10,10,11,11,11,11,13,14,15,15,15,15,17,17,17,18,18,18,19,19,19,1990
636,6701597437,4,4,4,4,4,4,4,7,7,7,7,7,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1990
737,7004539701,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1990
798,6602743159,3,3,5,5,5,5,5,5,5,5,7,7,7,9,9,16,16,16,16,16,16,16,16,16,16,16,16,16,16,1990
857,7801688542,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,15,19,1990
1581,7007039379,2,2,3,3,6,7,7,7,16,16,16,21,25,28,28,28,28,33,34,34,36,38,39,41,41,41,41,44,44,1990
1593,7005850586,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1990
1991,6602336332,1,1,1,1,1,1,1,1,9,9,9,13,13,13,17,17,17,17,17,17,17,17,25,25,25,25,25,26,26,1990
2110,7004086855,1,1,1,10,11,18,21,24,31,31,40,42,45,47,47,50,52,53,53,56,56,56,56,56,57,57,57,57,58,1990
2526,7005059670,3,3,3,5,5,5,5,5,7,7,7,10,18,18,18,18,18,18,18,18,21,21,21,21,21,21,21,21,21,1990
2751,6602841964,2,2,2,3,3,7,7,8,8,8,8,8,8,8,10,10,11,12,13,17,19,19,20,20,21,21,22,24,24,1990
2776,7003389028,1,2,6,7,10,10,13,13,14,14,18,20,24,24,24,24,26,30,32,38,39,39,41,43,45,45,45,45,46,1990
3387,6602657989,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1990
4034,6602308193,4,4,4,4,4,4,4,4,7,8,8,8,8,8,12,12,12,14,15,15,15,15,17,17,17,17,17,17,17,1990
4495,7401900166,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1990
4614,6701721644,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,15,15,16,17,18,20,23,23,23,29,29,29,29,31,1990
4620,56034378200,2,2,2,2,2,2,4,5,5,5,5,6,10,10,51,56,88,109,145,150,178,186,225,229,257,270,281,308,311,1990
5066,55811564100,1,1,1,1,1,1,1,1,1,1,2,2,2,5,8,8,9,9,9,9,18,20,20,24,37,37,40,40,41,1990
5193,7007030575,2,2,2,4,4,4,4,5,5,10,10,13,13,13,14,17,17,21,25,30,30,35,37,40,41,42,47,54,64,1990
5212,24325831000,2,3,4,4,5,7,7,7,7,7,9,12,18,23,24,26,28,30,30,38,39,40,43,43,45,45,46,46,46,1990
5325,56274859100,7,7,7,7,7,7,7,9,9,9,16,27,27,40,40,53,53,70,88,90,90,95,95,95,95,95,95,95,95,1990
5617,57192387835,3,3,3,3,3,3,3,3,3,3,3,3,31,31,31,31,31,31,31,37,37,37,37,37,37,37,37,41,41,1990
5661,7202580103,2,4,9,12,18,18,22,26,30,37,42,45,46,48,48,56,83,87,89,91,92,95,101,102,108,108,109,112,129,1990
6476,6602118820,3,3,3,3,4,5,5,5,5,5,5,6,6,6,7,7,7,7,8,8,10,10,10,12,12,12,12,12,12,1990
6832,7401809457,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1990
7214,7004203605,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1990
7655,7006211939,2,3,3,3,3,6,14,21,22,28,30,30,31,32,33,36,41,51,52,61,62,66,71,71,71,71,71,71,75,1990
7876,7003924858,4,5,5,7,10,11,15,20,20,21,24,30,34,39,44,52,55,55,57,64,65,66,75,85,88,91,108,115,117,1990
8253,35571525300,3,3,3,3,3,3,3,3,4,4,4,4,4,4,6,6,8,30,30,33,36,36,36,36,41,42,45,48,48,1990
8605,7004970514,3,3,3,3,11,14,14,14,15,15,15,15,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1990
8973,35616191400,2,4,4,4,4,4,4,7,7,9,11,14,19,20,23,23,24,27,29,30,31,31,31,31,31,31,31,31,31,1990
9423,7101921631,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,1990
9957,57191195314,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1990
10093,7004838968,4,4,4,4,4,4,4,4,4,4,4,4,7,8,8,10,10,14,14,14,14,14,14,14,14,14,14,14,14,1990
10200,7006687753,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1990
10403,7003993073,19,19,21,25,25,29,32,32,39,44,53,60,62,72,74,79,86,93,98,105,117,118,127,127,128,139,139,139,141,1990
10667,7004597928,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1990
10894,7005870330,3,3,3,3,3,3,5,5,5,5,5,5,5,7,7,7,7,7,8,8,8,11,11,11,11,11,11,11,11,1990
10927,55654662200,4,4,8,9,14,16,21,29,33,37,50,56,56,60,60,60,62,62,62,62,64,64,64,64,64,64,64,64,64,1990
11111,6701316794,2,6,7,8,9,9,12,12,16,16,20,23,29,33,34,45,47,47,51,56,60,61,75,76,79,82,84,87,87,1990
12368,7004584979,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1990
12453,6602113920,2,2,2,2,7,7,12,12,13,13,23,24,24,24,24,24,29,32,41,42,42,42,42,42,45,45,45,45,45,1990
12498,7003330495,2,2,2,5,5,10,10,15,15,23,24,30,33,49,61,67,69,69,73,79,85,85,85,87,88,92,94,94,99,1990
12737,56238044700,1,5,5,7,7,7,11,14,14,15,16,16,16,16,16,16,16,16,17,18,18,19,19,19,19,19,19,19,19,1990
12761,7004161017,3,5,5,7,8,8,8,9,9,9,9,9,9,9,10,11,15,15,15,15,16,16,16,16,16,16,16,16,16,1990
12931,7006201366,2,3,4,7,8,9,9,9,11,11,15,15,15,15,15,15,15,20,20,20,20,20,21,21,22,24,24,24,24,1990
13164,7005146506,1,1,4,5,13,17,21,23,32,43,47,48,49,50,58,64,75,77,80,83,86,86,86,89,89,92,96,100,100,1990
13221,57204930616,1,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,5,5,5,5,9,10,11,11,11,11,11,11,1990
13271,6602839379,1,1,2,2,4,4,4,4,5,5,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1990
13510,23477640200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1990
13723,7006108580,4,9,9,9,10,13,13,13,13,16,18,18,18,18,18,18,19,19,19,21,21,21,21,24,24,24,24,24,24,1990
14260,56217204700,4,6,12,12,13,15,17,17,17,17,20,21,22,22,23,23,23,23,23,26,28,34,35,35,35,36,36,36,36,1990
14767,7006515173,5,5,5,5,5,5,5,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1990
15578,7006566699,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,15,25,29,33,33,33,35,35,35,35,35,35,1990
15688,6701711995,1,1,4,8,9,9,10,13,18,18,22,22,26,26,29,30,33,38,41,41,48,49,51,54,58,74,75,76,76,1990
15714,7004160061,1,1,1,1,1,2,2,5,7,8,8,9,12,13,14,17,17,19,19,22,22,22,22,22,22,22,22,22,22,1990
16090,6602915716,2,2,2,3,3,3,4,4,5,7,12,12,12,13,13,14,19,19,20,26,30,32,36,43,45,46,46,46,46,1990
16194,7103024162,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1990
16335,6701813563,1,5,7,7,7,9,9,11,11,11,16,17,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1990
16507,7003952036,5,5,6,7,10,11,20,23,27,27,33,34,39,48,56,61,68,74,78,88,91,93,98,106,132,143,148,161,169,1990
16767,7007014349,2,2,2,2,2,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1990
17082,7004038899,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1990
17100,7004297071,3,3,3,5,5,23,23,23,40,42,47,55,55,55,55,55,55,64,66,86,86,87,97,98,108,125,134,138,142,1990
17975,7006968257,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1990
18616,7004910831,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1990
18637,7006544339,2,2,2,2,2,2,2,2,3,3,3,3,3,3,6,6,6,7,7,7,11,11,11,11,14,15,19,19,25,1990
19004,6701693584,5,5,5,5,5,5,6,8,8,8,9,11,11,11,14,14,16,16,16,16,16,16,16,22,22,25,25,25,26,1990
19140,7003879659,2,6,8,10,13,13,23,25,27,27,28,29,29,34,35,36,38,41,42,42,42,42,45,46,46,48,49,49,49,1990
