Unnamed: 0,ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
197,6701740560,1,1,1,1,1,1,1,1,1,3,3,6,8,2006
281,35550506900,8,8,8,8,8,8,8,8,8,8,8,8,8,2006
298,8252143000,3,4,6,7,9,10,11,22,34,34,34,34,34,2006
471,7402283467,6,6,6,6,6,6,6,6,6,14,14,18,38,2006
529,6701806568,24,24,24,24,24,24,24,24,24,24,24,24,24,2006
607,23390547500,9,14,14,16,18,20,25,25,25,28,28,28,29,2006
649,6603067743,4,4,4,4,4,4,4,4,4,4,4,4,4,2006
887,7102121832,2,3,4,4,4,4,5,12,16,32,37,42,50,2006
966,55666574500,11,14,36,41,47,55,76,100,125,145,169,199,216,2006
1064,7003570500,5,5,5,5,5,5,5,5,7,7,7,7,7,2006
1084,8390339900,3,3,3,3,3,3,3,3,3,3,37,37,37,2006
1207,55059470800,34,34,37,37,37,37,85,85,91,91,97,97,97,2006
1263,7006151112,7,7,7,7,7,7,7,7,7,7,7,7,7,2006
1356,12139656400,1,1,1,1,3,3,3,3,7,7,7,8,12,2006
1506,26432515100,9,9,9,9,9,15,18,35,41,45,45,54,54,2006
1530,23478151500,1,3,7,9,11,17,25,31,34,36,48,58,65,2006
1556,7102154502,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
1601,6602999368,3,3,3,6,6,6,6,6,6,6,6,6,6,2006
1851,24172351000,2,2,2,2,4,4,6,6,8,8,10,10,10,2006
1977,8633656800,10,10,10,10,10,10,10,10,18,18,18,18,18,2006
2020,15760139600,2,2,4,4,7,9,10,11,19,28,33,52,65,2006
2165,24765929900,4,4,17,21,21,22,23,23,26,50,54,57,57,2006
2216,7004182648,1,1,1,1,8,8,8,8,8,8,8,8,8,2006
2234,6602141538,2,7,10,10,10,10,14,17,18,19,27,31,32,2006
2324,6504270019,1,4,4,4,4,4,8,12,13,13,13,13,13,2006
2384,7103308338,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
2396,6602847961,3,3,3,3,4,4,5,5,5,5,5,5,5,2006
2399,23007929700,1,3,7,9,10,17,20,24,28,34,34,36,41,2006
2448,8342925400,3,3,9,9,9,9,9,9,9,9,57,93,103,2006
2541,7003287775,2,2,2,2,2,2,2,2,2,9,9,11,11,2006
2612,12645446400,2,3,3,3,3,16,16,16,17,20,20,26,26,2006
2751,6701822087,2,2,2,2,2,2,2,2,2,2,2,2,2,2006
2786,55204170800,6,6,6,6,6,6,6,6,6,6,23,23,23,2006
3000,22978164500,4,4,4,4,4,4,4,4,4,4,4,10,10,2006
3061,6602577068,8,8,43,81,98,109,109,109,131,136,168,199,214,2006
3101,7403479848,25,25,38,38,67,67,82,82,82,82,85,85,134,2006
3135,8556196600,4,4,4,8,8,8,8,8,10,12,17,19,19,2006
3176,6602730249,24,24,29,35,35,35,40,40,40,56,64,64,64,2006
3493,6505757966,26,26,65,65,111,114,131,131,178,178,213,217,217,2006
