Unnamed: 0,ID,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
121,15835646600,3,3,3,3,3,3,3,3,5,5,2009
176,24484862400,6,6,6,6,6,6,6,6,6,6,2009
183,35168696400,4,6,6,6,6,6,6,6,6,6,2009
238,7003479767,3,3,3,3,9,9,9,9,9,34,2009
244,26435119700,3,3,3,6,6,6,9,9,9,9,2009
343,23474799500,6,6,10,10,10,22,22,22,22,22,2009
425,35302494500,2,2,2,2,5,5,14,17,17,19,2009
435,6601968404,6,8,10,11,11,12,19,28,42,42,2009
603,23484315300,4,4,4,4,8,8,9,9,9,11,2009
616,15020183900,1,2,4,6,7,8,8,9,9,13,2009
624,6603704033,21,21,21,21,21,21,21,21,21,21,2009
625,24342928100,1,1,3,3,3,3,4,4,4,4,2009
659,23986944000,3,3,3,8,8,8,8,8,8,15,2009
829,26968131700,3,4,7,12,15,15,20,21,21,30,2009
838,7003589075,1,4,8,11,13,13,13,13,15,15,2009
841,25031238600,4,4,4,4,9,11,11,11,12,12,2009
958,23036062700,6,6,6,6,11,11,11,16,16,16,2009
959,7006437864,5,18,18,24,28,31,31,31,49,55,2009
1139,7005464348,9,9,9,9,9,9,9,9,9,11,2009
1142,16647629300,2,2,5,9,9,9,12,18,18,18,2009
1145,35182485100,17,18,24,24,24,24,40,40,40,40,2009
1259,6602880437,11,11,11,11,26,44,44,44,55,61,2009
1379,6602312160,4,4,6,6,6,6,6,6,6,6,2009
1496,50162526500,3,5,5,8,8,8,17,17,18,18,2009
1534,24168886900,10,10,10,10,10,10,10,14,14,14,2009
1536,36241672900,2,2,8,16,17,20,23,26,28,37,2009
1582,14831857200,3,4,15,21,27,31,42,48,53,65,2009
1589,8701117500,14,14,18,18,22,22,25,25,25,25,2009
1614,35204372400,2,3,3,6,6,9,11,17,41,43,2009
1708,7202042160,6,6,6,6,6,6,6,6,6,6,2009
1723,8710599700,1,1,1,1,1,5,5,8,10,13,2009
1757,36022692400,4,4,12,15,15,17,18,19,19,19,2009
1825,7004669898,3,3,3,3,3,3,3,3,3,3,2009
1863,26768454800,2,2,5,5,5,5,5,5,10,10,2009
1873,27867805500,5,11,11,11,14,16,16,61,61,61,2009
1901,34771280000,1,1,1,1,1,6,7,7,7,7,2009
1939,8503782900,5,5,5,14,14,14,21,21,21,21,2009
2146,34969831000,2,2,4,5,5,11,12,15,15,15,2009
2193,23482427200,5,6,7,8,8,8,11,12,12,12,2009
2196,24481221300,7,7,7,7,16,16,16,16,16,16,2009
2249,57204288793,17,17,17,23,23,23,23,26,30,30,2009
2250,35333643900,5,13,15,15,15,19,19,19,19,19,2009
2273,35361712600,2,2,3,6,7,7,12,21,22,24,2009
2366,7007024506,2,2,2,2,2,2,2,2,2,2,2009
2413,36105629400,2,2,3,4,5,8,9,12,13,15,2009
2438,7006625059,3,3,3,3,3,3,3,3,3,3,2009
2518,6603707763,5,5,5,5,5,5,5,5,5,5,2009
2575,16647320500,2,2,2,2,3,3,3,4,5,5,2009
2582,38663419600,6,6,19,19,21,21,21,21,21,21,2009
2591,7006177587,4,4,4,7,7,9,9,9,9,9,2009
2662,57196974608,2,8,21,22,22,22,22,23,23,23,2009
2669,25650338100,12,12,12,12,14,14,14,14,14,14,2009
2832,35198071500,2,6,9,12,16,26,43,53,69,85,2009
2843,9735472300,5,5,5,17,17,17,19,19,19,19,2009
2911,7005250309,9,9,9,9,9,9,9,9,9,9,2009
2913,7003448733,1,1,1,1,1,1,1,1,1,1,2009
2979,35847370300,4,7,11,17,17,17,17,17,17,17,2009
3144,28567754700,1,1,1,1,3,3,3,3,3,3,2009
3199,16318942400,5,5,5,5,5,11,11,11,11,11,2009
3261,35087983500,1,2,11,13,14,23,24,24,24,26,2009
3274,13411035300,1,1,1,1,2,2,5,5,5,5,2009
3314,35312224000,8,20,20,20,20,20,20,20,32,32,2009
3347,26040513700,3,3,3,3,3,3,3,3,3,3,2009
3356,6603366433,4,4,4,4,4,4,4,4,4,4,2009
3373,6602491422,3,3,3,3,3,3,3,3,3,3,2009
3639,26428472800,4,4,4,14,17,20,20,33,37,38,2009
3654,25925368500,8,8,11,11,20,20,20,20,20,20,2009
3667,36722858400,4,21,21,23,24,24,24,27,33,34,2009
3732,7801351597,20,20,20,20,20,20,20,21,22,22,2009
3748,6603848211,5,5,5,6,6,6,7,7,7,7,2009
3779,26427771900,6,6,6,6,6,14,14,14,14,14,2009
3809,9335815300,12,18,21,21,35,35,35,35,45,45,2009
3882,26424843800,5,5,6,6,7,7,7,7,7,7,2009
3916,35302811300,2,2,7,9,15,15,15,15,15,16,2009
3984,6506607050,2,7,27,36,49,64,73,75,82,92,2009
4038,56500820000,4,4,4,4,4,4,4,4,4,4,2009
4057,7004300086,21,21,21,21,21,21,21,21,21,21,2009
4101,35092391600,2,3,5,8,8,12,16,19,22,22,2009
4296,7003503150,8,8,8,8,14,14,14,14,14,14,2009
4420,6701570802,8,8,8,22,22,35,35,35,35,35,2009
4472,23100915500,2,2,2,2,2,3,3,3,3,3,2009
4515,7004208961,11,11,11,11,11,11,11,11,11,11,2009
4670,28567537600,5,14,15,15,26,26,42,56,64,70,2009
4750,6602852480,10,10,10,10,10,10,10,10,10,10,2009
4773,7101685546,7,7,7,7,7,7,7,7,7,7,2009
4805,35766755300,2,2,2,4,4,8,9,9,10,10,2009
4853,35248827000,3,7,11,13,16,16,20,20,20,20,2009
4872,7102160800,4,4,4,13,13,13,13,13,13,13,2009
4880,35178951000,6,6,11,14,17,19,23,23,24,25,2009
4954,6603271679,2,2,2,6,6,13,14,14,14,14,2009
5076,23033362000,3,3,5,12,14,17,25,26,28,32,2009
5153,35213640200,4,5,9,9,9,9,14,16,16,16,2009
5224,56684557700,13,15,15,15,15,15,15,15,15,15,2009
5242,7004590897,4,4,4,4,4,4,4,4,4,4,2009
5343,36757515800,4,4,4,4,4,4,4,4,4,4,2009
5344,25824882500,5,5,5,5,12,12,15,20,24,30,2009
5346,24080576800,3,3,3,3,3,3,3,3,3,3,2009
5365,23972510800,4,9,9,13,14,19,25,27,30,32,2009
5537,55366598800,1,2,3,8,8,15,17,19,21,24,2009
5588,7005773229,4,4,4,4,4,11,11,11,11,26,2009
5668,26648125700,6,6,6,6,6,6,6,6,9,26,2009
5744,15520739600,5,5,5,5,5,5,7,7,7,7,2009
5767,6602776687,3,3,3,3,3,3,3,3,3,3,2009
5772,7004196800,6,6,6,6,6,6,6,6,6,6,2009
5776,9274397700,33,33,33,33,33,50,50,56,56,56,2009
5825,23981124400,8,8,8,9,17,25,25,28,38,40,2009
5840,7004113551,2,2,2,2,2,2,2,2,2,2,2009
5854,7102335675,2,2,2,2,2,4,5,5,5,5,2009
5872,7003404107,3,6,6,6,6,6,6,8,11,11,2009
6007,16025938400,46,46,56,56,56,56,56,56,56,56,2009
6075,12766680400,1,1,1,1,1,11,11,11,11,11,2009
6230,7006384531,8,8,8,8,8,8,8,8,8,8,2009
6232,13605534700,21,21,21,21,21,21,21,21,21,21,2009
6319,53983938500,2,2,2,2,2,2,2,2,2,2,2009
6325,7003448715,4,4,4,10,10,10,10,10,10,10,2009
6452,26429702400,16,16,16,16,16,16,16,16,16,16,2009
6511,35112717800,5,5,5,5,5,7,10,10,10,10,2009
6552,6602778989,1,1,1,1,1,1,1,1,1,1,2009
6573,14035981700,3,11,13,15,18,22,27,31,33,43,2009
6617,56243146400,4,4,4,4,4,4,4,4,4,4,2009
6769,6603677763,5,5,5,5,5,5,5,5,5,5,2009
6838,8973284600,8,8,8,8,8,8,8,8,8,14,2009
6882,7005809200,1,1,1,1,1,1,1,1,1,1,2009
6975,55892814800,2,3,6,9,14,18,18,21,21,22,2009
7047,25923447700,5,5,5,5,5,5,5,10,10,10,2009
7094,7005823803,4,4,4,4,8,8,9,9,14,16,2009
7129,31967699300,7,7,7,7,7,7,7,10,10,10,2009
7202,8651811100,34,34,34,34,34,40,40,50,50,66,2009
7263,23099287300,6,6,6,12,12,12,17,17,17,22,2009
7277,36086090900,1,1,1,5,5,6,6,6,8,8,2009
7296,55133904100,5,8,8,8,8,8,8,8,8,13,2009
7471,7102240350,9,9,23,25,34,42,43,43,43,43,2009
7653,13105422700,4,4,4,4,8,8,8,8,8,52,2009
7768,23398292800,4,6,8,10,20,28,32,40,41,49,2009
7911,55225083500,5,5,5,5,5,5,5,5,5,5,2009
7916,46061135800,3,3,8,11,12,12,20,23,23,23,2009
7976,34877153000,54,54,73,73,73,73,73,73,73,73,2009
7977,24774171300,9,9,9,9,9,9,9,9,9,9,2009
8079,24723954700,5,5,5,5,12,12,44,44,44,44,2009
8253,12768058100,15,15,70,70,70,70,79,79,79,79,2009
8259,35169882600,6,7,9,13,14,15,16,17,17,17,2009
8378,12754086300,5,5,5,5,5,5,5,5,5,5,2009
8401,24437971100,2,2,3,5,5,5,5,5,5,5,2009
8455,36162022700,1,2,4,8,14,15,21,23,34,37,2009
8460,54893876500,2,2,2,5,5,8,12,16,17,17,2009
8470,7102269023,4,4,4,4,4,4,4,4,4,4,2009
8519,35585687100,1,1,1,1,1,47,47,47,47,47,2009
8531,56370036400,7,7,7,7,7,14,14,14,14,14,2009
8673,35449264900,30,49,58,62,62,62,62,64,73,76,2009
8734,25927098000,5,5,5,11,11,11,11,11,11,11,2009
8837,7005067251,12,14,15,15,15,15,15,15,19,19,2009
8953,35339683700,2,2,3,3,3,7,11,11,11,11,2009
9012,6602672780,4,4,4,4,4,4,4,4,26,26,2009
9068,54380669400,2,2,2,2,2,2,2,2,2,7,2009
9104,15835670200,3,3,5,5,5,5,5,5,5,5,2009
9106,26427769000,11,11,11,11,12,22,22,22,22,22,2009
9118,55911434800,4,4,4,4,4,6,8,8,8,10,2009
9134,7006086168,1,1,1,1,1,1,1,1,1,1,2009
9147,23975159100,3,3,3,3,3,3,3,3,3,3,2009
9184,6603183022,23,23,23,23,23,23,23,23,23,23,2009
9224,55910895100,2,6,10,13,15,17,17,22,22,29,2009
9280,35243461300,13,13,13,13,59,59,59,59,59,59,2009
9315,35145235600,3,3,5,7,7,11,14,14,18,18,2009
9479,7102558178,7,7,11,11,12,12,12,12,12,12,2009
9714,56635181100,3,3,3,3,3,3,3,3,3,3,2009
9726,8544300600,3,3,6,6,6,6,6,6,6,6,2009
9743,25638387700,1,2,2,7,14,23,30,46,57,61,2009
9850,35102499700,3,5,5,5,5,5,5,5,7,7,2009
9933,35408793200,1,5,9,9,9,9,9,9,9,9,2009
9967,6602226675,3,3,3,3,3,3,3,3,3,3,2009
9971,35748454400,3,3,3,3,6,6,6,6,7,7,2009
10019,12240695900,1,1,3,4,9,11,18,23,23,26,2009
10068,8404734800,4,4,4,4,4,4,4,4,4,4,2009
10120,7102533462,4,4,4,8,11,16,16,16,16,16,2009
10168,34267762500,3,3,11,15,15,15,15,30,35,35,2009
10250,26432012100,19,19,19,19,19,19,19,19,19,19,2009
10288,7006454082,1,1,1,1,1,1,7,7,7,12,2009
10291,6602741687,7,7,7,7,7,22,22,22,22,22,2009
10323,55531906300,4,5,8,10,11,11,15,20,22,26,2009
10377,13005586400,12,12,12,12,12,12,23,23,23,23,2009
10406,8840256300,22,22,22,22,22,22,22,22,22,22,2009
10444,6602930004,8,8,8,8,8,8,8,8,8,8,2009
10447,6701790530,10,15,15,15,15,15,15,15,15,23,2009
10497,35758994500,8,8,8,8,8,8,8,8,11,11,2009
10551,7006131201,54,54,54,54,54,54,54,54,54,54,2009
10583,35758465800,5,6,9,19,34,60,77,86,91,96,2009
10588,8897480600,6,6,17,17,35,40,40,40,40,57,2009
10617,23970798500,2,2,6,9,9,9,11,13,13,13,2009
10618,6602489410,3,3,3,3,4,4,4,4,4,4,2009
10661,55364410000,3,4,4,5,5,6,9,17,22,31,2009
10753,7103344258,14,15,19,19,25,28,33,57,59,60,2009
10755,6508163688,3,6,6,6,6,6,6,6,6,6,2009
10810,24071142500,2,3,3,4,6,6,6,7,7,7,2009
10834,19639755400,14,14,14,14,14,14,20,20,20,20,2009
10845,24072782200,3,3,3,4,5,5,5,5,5,5,2009
10846,16196451500,2,2,2,2,2,2,2,2,2,2,2009
10866,35304529700,6,6,8,8,8,8,8,8,8,8,2009
10925,7004727255,7,7,7,11,11,55,55,75,75,75,2009
10959,8856735100,79,79,79,79,79,79,79,79,79,79,2009
11032,57190275152,1,1,1,2,2,4,4,6,6,7,2009
11077,35264493900,7,25,31,36,38,38,46,48,50,61,2009
11083,13606200600,2,2,2,2,4,4,4,4,4,4,2009
11145,36028415800,5,5,8,8,8,8,8,8,8,8,2009
11197,35515405200,5,5,5,5,12,12,15,20,20,24,2009
11207,8925509300,5,5,5,5,9,13,19,19,19,19,2009
11330,15828996700,8,18,22,22,33,35,35,40,47,47,2009
11522,26429036700,5,5,5,5,5,5,12,12,12,12,2009
11553,8538142000,17,17,17,50,50,136,136,159,159,203,2009
11572,7004325506,5,5,5,5,5,5,5,5,5,5,2009
11581,7005630328,5,5,10,10,10,10,10,10,12,12,2009
11646,35300349600,4,4,4,4,4,4,7,7,7,7,2009
11664,8619701400,4,4,4,4,4,4,4,4,7,9,2009
11750,35103715600,3,11,15,20,27,32,38,40,42,48,2009
11765,23569142000,2,2,3,3,3,3,5,7,7,7,2009
11783,26423795700,4,4,4,4,11,11,11,11,11,11,2009
11970,24502644700,1,1,4,4,4,6,8,10,10,13,2009
12127,7006589503,6,6,6,6,6,6,6,6,6,6,2009
12181,6602317543,5,10,10,10,10,10,10,10,10,10,2009
12211,6603077289,4,4,4,4,7,7,7,7,7,7,2009
12212,56386887800,5,5,5,5,5,5,15,15,15,15,2009
12215,6603612303,10,10,10,10,10,10,10,10,10,10,2009
12219,57199405694,3,3,4,9,9,9,17,17,21,21,2009
12256,35089957000,3,3,3,3,6,22,27,29,33,38,2009
12314,7003730335,6,6,6,6,6,6,6,6,6,6,2009
12342,6602700171,5,5,9,18,44,44,64,64,78,81,2009
12426,10939173000,60,60,60,60,60,60,60,130,130,130,2009
12471,57204892205,3,3,3,3,3,3,3,3,3,3,2009
12486,55767477600,2,2,2,2,2,2,2,2,2,2,2009
12520,7003710939,2,2,2,2,11,11,13,16,23,25,2009
12690,35117655600,4,12,20,20,22,27,29,35,35,35,2009
12711,7005436365,2,2,2,2,2,3,4,4,6,6,2009
12783,7004450361,6,9,9,9,9,11,11,13,14,14,2009
12786,22233946800,3,3,3,3,3,3,3,3,3,3,2009
12920,24278691000,2,2,2,3,7,7,9,11,11,11,2009
12927,7003415578,2,2,2,2,2,2,2,2,2,2,2009
12958,55504413300,2,2,2,2,2,2,2,2,2,2,2009
12993,7004649024,32,32,32,32,32,32,32,32,32,32,2009
13000,9846846600,3,3,3,3,3,3,3,3,3,3,2009
13048,55955680300,2,4,4,7,7,8,8,11,11,11,2009
13075,35867785900,3,3,3,6,10,10,10,45,45,45,2009
13083,22635658900,2,3,4,5,5,6,6,6,6,8,2009
13141,26538130800,32,32,32,32,32,32,32,73,73,73,2009
13175,34869367400,2,7,15,26,33,40,47,57,64,67,2009
13245,6602763202,6,6,10,10,10,10,10,10,10,10,2009
13267,6506818323,3,3,4,4,4,4,4,4,4,4,2009
13301,24071619900,6,6,6,6,6,6,6,6,6,6,2009
