ID,2015,2016,2017,2018
55719005700,7,7,7,7
35444766700,11,11,11,11
56939340300,2,3,3,3
57192293609,3,3,3,3
56114762600,10,10,10,10
35318720900,3,3,3,3
7004271887,19,19,19,19
36003624100,16,22,22,22
36805685400,4,4,4,4
27867811000,14,14,14,14
16679222000,10,10,12,23
57188748169,5,9,9,9
56517715300,4,5,7,19
9245337700,19,19,19,19
12784775300,1,1,3,4
55973076900,3,5,5,5
34870116100,59,70,70,70
57196873890,28,28,37,37
57035243200,2,2,2,2
55143899600,1,1,1,1
56986641200,5,5,5,5
54790605200,13,18,18,19
26424457400,56,56,63,67
56463349600,25,25,25,25
56779730100,3,4,4,4
35607238200,4,4,4,4
14027991800,7,7,7,7
56879182000,2,2,4,4
56393857000,9,11,12,15
34168027600,5,5,9,9
56890365100,3,3,4,4
7004832773,11,17,17,17
7003289125,5,5,5,5
56879056100,6,11,11,11
55944810600,2,2,2,2
56709343000,13,13,25,25
57204318540,8,8,8,8
57189490405,10,10,10,10
57170851300,2,2,4,4
56433303600,7,9,11,12
55800383500,4,4,4,4
50462041300,8,11,11,14
7404679473,2,6,6,6
56925439000,3,3,4,4
56646419100,3,3,3,3
6506318631,3,3,7,7
55352871800,3,4,7,7
56919530000,3,4,4,4
56643004500,7,7,7,7
57190965041,2,2,2,2
56072896600,7,8,8,8
6602901590,2,2,6,6
54791013000,3,3,3,3
56695336800,9,9,9,9
35073828000,5,5,5,5
55581804600,2,2,3,3
7005213217,28,28,28,28
56999928900,3,3,3,3
56176857700,5,5,5,5
56568148800,6,6,6,6
22953696000,4,4,4,4
56347582000,12,12,12,12
57188824996,4,4,4,4
15726314100,2,5,5,5
56534175200,4,11,11,31
55601764500,13,13,13,13
55498856500,5,5,5,5
7003450744,3,3,4,4
55875921100,6,6,6,6
36809985000,9,13,15,19
14024719500,2,4,6,6
57188862232,4,4,5,5
56728591300,10,10,10,10
56006074300,5,5,9,9
56543364800,4,4,4,4
24382155600,2,2,2,2
56437415000,6,6,6,6
56313373700,5,5,5,5
56458065600,3,5,7,7
55849672100,9,10,12,14
56695365800,19,19,19,19
39360985900,2,2,6,6
8634629100,3,3,3,3
55944036600,4,4,4,4
56642695700,6,6,6,6
55647039100,10,10,10,10
57150989000,3,4,4,4
6602342410,11,11,11,11
56705480200,4,4,4,4
57188577504,2,3,3,3
56717379200,3,5,5,5
56898657900,8,27,29,30
6602769137,5,5,5,5
57192311849,4,4,4,5
57188553114,6,6,6,6
57028309500,3,4,4,4
56562937100,8,8,8,8
56070906400,6,6,6,9
56926682400,2,3,3,3
7402468478,4,4,4,4
22034355400,4,4,4,4
7404628260,1,1,1,1
57189094855,2,4,4,4
56563108900,15,15,15,15
57189096483,2,12,12,12
56729423500,2,2,2,2
55932766000,5,5,5,5
56604816600,3,4,4,4
36608976800,4,4,4,9
6701895652,12,12,12,12
9744970800,4,4,5,5
56492758700,3,4,7,7
56447130200,8,8,8,8
57055340700,1,1,1,1
56893800100,9,14,14,14
36991875200,3,9,11,16
36083857500,2,2,2,2
7005097872,28,37,40,40
36666230100,9,18,18,18
57189353104,2,4,4,4
38061755800,21,21,25,25
57194734506,2,3,4,5
56560276200,4,4,4,4
56986376200,5,5,5,5
7003291822,2,3,3,3
57188926644,3,3,3,3
56594959700,9,10,10,10
57188767651,1,2,11,11
7006389843,6,6,6,6
57074026700,2,2,5,8
55805042400,6,16,16,16
14008023300,6,16,21,21
55203274500,3,3,3,3
8672631400,8,9,9,9
56668775700,4,4,4,4
6603748349,9,9,9,9
57027365000,2,3,5,5
22941064000,2,2,2,2
56942404800,12,12,12,12
56297994600,1,1,1,1
56406387200,3,3,5,5
57201562636,12,32,36,37
6602597569,5,5,8,13
57147046200,4,4,6,9
57189462253,4,5,5,5
57189663597,3,3,3,3
56512182100,4,8,9,10
56451837000,1,1,1,1
56878228000,4,6,6,6
56950644500,11,26,26,26
41762578200,5,9,17,17
7201682655,3,3,3,3
26029737100,4,6,6,6
26031026500,3,3,3,3
56534114400,2,2,2,2
55995850300,4,6,6,6
7103401050,12,12,16,16
57191891688,4,6,6,8
55844084200,3,3,5,9
55256270300,3,3,3,3
55850609100,9,9,9,9
14632583100,49,49,49,49
8696710100,3,3,3,3
8161598600,4,4,4,4
57028154200,4,4,7,7
57043755900,5,5,9,13
57188969430,2,2,4,5
56181659700,3,7,7,7
57117511400,3,8,10,10
10143724200,26,26,26,34
57190792536,1,1,1,1
7201572383,4,4,4,4
16745019500,1,5,5,5
13204873600,3,3,3,6
56919398900,7,11,11,11
22233782700,6,6,6,6
55866619400,6,6,6,8
35074587400,2,2,2,2
6603582105,5,5,5,5
55180711200,3,5,10,10
55999456400,1,1,1,1
56202457100,5,7,7,7
56491181800,3,3,3,3
57188569193,3,3,3,3
55785460000,4,8,8,11
8907493700,4,4,6,6
55918309900,2,2,3,4
56733079500,5,5,5,5
56028057300,4,4,10,10
57204285850,6,6,6,6
57188827123,3,3,3,3
55325203500,4,4,4,14
56529559400,2,2,15,23
36805461300,5,5,5,5
6505996444,2,2,2,2
57156110400,4,4,4,11
57118344200,4,4,4,4
23974244200,3,3,3,3
55665446200,18,18,18,18
55614031300,23,33,33,33
23091478700,10,10,21,21
35093804400,8,8,8,8
54279418200,8,8,11,11
21233564300,4,4,4,4
57016479900,7,25,25,31
6603200295,4,9,9,10
54404678400,3,3,3,3
56970539800,3,7,9,9
56461179400,3,5,5,7
56567681600,7,11,11,11
56613541600,2,2,2,3
55752084500,8,8,9,9
56897186300,5,5,5,5
56565590800,4,6,7,7
54379727600,3,3,3,3
56904199800,1,1,2,3
7003720673,7,7,7,7
57190796208,2,2,2,3
57188859924,1,1,1,1
55586220700,13,13,14,16
7202774298,7,7,7,7
54896106800,6,7,8,8
56844436300,4,4,4,4
56182810200,2,2,6,6
57191712033,10,14,14,14
7102291655,2,2,2,2
56509373900,13,13,13,18
7102694878,4,8,8,8
56562658000,10,26,27,27
57203082048,6,6,6,6
7006973731,11,11,12,12
57195513027,5,6,6,6
56707353100,2,2,2,2
57199337966,4,4,10,10
44260905000,20,20,20,20
56384531500,6,6,6,6
55967782200,5,8,10,10
