ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6508297663,4,4,4,4,4,7,7,8,8,8,8,8,8,8
8852651700,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8980426100,2,5,6,8,14,14,22,24,24,29,34,34,51,53
57203533737,11,11,11,11,11,11,11,11,11,11,11,11,11,11
14019498900,3,4,4,7,7,12,12,13,13,13,13,15,15,15
56399300100,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8894614600,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17134577000,1,1,2,2,2,3,8,8,8,8,8,9,11,12
7407378316,7,8,8,8,8,8,8,8,8,8,8,8,8,8
26643312600,28,28,28,28,28,28,28,28,28,28,28,28,28,28
7005730125,10,10,10,19,19,19,19,19,19,19,19,19,19,19
14831456100,1,2,2,2,2,2,2,2,2,2,2,2,2,2
7003711298,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6603780207,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8357416500,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7005676879,14,14,14,14,14,22,22,22,22,22,22,22,22,22
57200783233,38,38,38,38,38,38,38,38,38,38,38,38,38,38
8286910100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16635523100,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7005877653,3,3,3,3,3,7,7,7,7,7,7,7,7,7
13104887800,4,4,4,4,4,7,7,7,7,7,7,7,7,7
13607175900,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6507025980,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7801627219,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8403722600,1,3,3,3,3,3,3,3,3,3,3,3,3,6
6505635037,3,4,4,4,4,4,4,4,4,4,4,4,4,4
22333263900,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8706421200,2,2,2,2,2,2,2,2,2,2,2,2,2,2
12141109900,1,2,2,2,2,2,2,2,2,2,2,2,2,2
6701417695,1,1,1,1,1,1,1,5,5,5,5,5,5,5
57195724819,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11140790500,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7006797863,5,9,9,9,9,9,9,9,9,9,9,9,9,9
6603351085,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10142859300,3,4,7,10,12,17,23,23,25,25,25,25,25,25
15923420900,7,13,19,22,25,25,28,32,35,42,47,48,48,49
55665644100,2,2,2,4,4,4,4,6,6,6,6,6,6,6
55395549800,10,12,12,12,16,16,19,19,19,19,19,19,19,19
14016658000,4,4,5,5,5,5,5,5,5,5,5,5,5,5
56115733900,1,1,4,4,4,4,4,4,4,4,4,4,4,4
35607176600,2,2,2,2,2,2,6,6,6,6,6,6,6,7
12544780400,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8878656200,23,27,42,42,42,42,42,42,42,42,42,42,42,42
55423994500,48,48,48,48,48,48,48,48,48,48,48,48,48,48
13006340600,6,6,6,7,7,7,7,7,7,7,7,7,7,7
55002836300,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8971699800,3,3,3,3,35,35,35,35,35,35,35,35,35,39
8539997700,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8517932600,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6507306354,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12789909000,1,1,1,1,3,3,3,3,3,4,7,13,21,21
23469845400,3,5,5,7,7,7,7,7,7,7,7,7,7,7
7003302108,8,8,8,8,8,8,8,40,40,40,40,62,93,93
57203367164,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14518855700,2,3,3,3,3,7,7,11,11,11,19,21,23,23
6507313856,6,6,6,6,6,6,6,6,6,6,6,6,6,6
56668817000,3,3,3,3,3,10,10,10,10,10,10,10,10,10
23397678200,2,2,3,5,8,8,9,9,11,12,12,14,20,29
8334078800,2,6,10,12,14,14,14,14,14,16,18,18,18,18
16743922100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602978212,5,5,5,5,16,16,16,16,16,16,16,16,16,16
24178846200,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7004075315,6,6,6,6,6,6,6,9,9,9,9,9,9,9
6508250671,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13007657500,2,2,2,5,5,8,8,15,17,17,19,19,19,19
57197906415,25,25,25,25,25,25,25,25,25,25,25,25,25,25
8693837100,3,7,7,8,8,8,9,9,12,12,15,15,17,19
8596314500,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6603856765,10,10,10,10,10,10,10,10,10,10,10,10,10,10
6603515487,3,3,4,4,4,6,6,6,7,7,9,9,11,21
6505586309,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8588520200,3,3,3,3,3,3,3,3,3,3,3,3,3,3
16642317200,2,2,4,4,5,5,5,7,11,11,12,12,14,14
8665883200,3,3,3,7,8,11,11,11,11,11,11,11,11,11
25638406800,1,1,1,1,3,3,3,3,3,3,5,5,5,5
6506645501,1,2,7,10,12,21,31,39,43,74,81,89,105,108
14039765600,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7003595227,1,1,1,7,7,7,7,7,7,7,7,33,33,33
6602159947,5,5,5,5,5,5,5,5,5,5,5,5,5,5
56262780800,3,6,6,6,6,6,11,12,12,13,14,14,14,14
9739850400,4,8,13,17,24,24,32,33,35,45,46,49,56,56
56635026400,7,7,7,7,7,7,7,7,7,7,7,7,7,18
23092429500,2,3,3,3,3,7,7,8,9,11,13,15,15,15
13613875100,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6507744783,2,2,2,2,2,2,2,2,2,2,2,2,9,9
6506485127,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35787936200,4,5,5,5,5,5,7,7,7,7,7,7,7,11
13008204000,2,2,2,8,8,8,8,8,8,8,8,8,8,8
6602387655,2,3,3,3,3,3,3,3,3,3,3,3,3,3
14032993800,3,5,5,5,5,5,5,5,5,5,5,5,5,5
16177563000,2,2,2,2,2,2,2,2,2,2,2,2,2,2
21739690800,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6602732768,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7004083299,5,5,5,5,11,11,14,14,14,14,14,14,14,15
15837711300,4,4,4,4,4,4,4,4,4,4,4,4,4,4
56250628800,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8959846000,2,4,4,6,6,10,10,11,12,13,13,15,16,17
16550617900,4,4,4,4,4,4,6,9,9,9,76,76,76,76
55707316500,2,2,2,2,2,2,2,2,2,2,2,2,2,2
15521074700,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7004033219,8,11,12,12,12,12,12,12,12,12,12,12,12,12
8860022200,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7006520566,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7005333814,6,7,7,7,7,7,12,12,12,12,12,12,12,12
6506882001,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7005532755,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55604019400,5,5,6,13,16,16,18,22,36,45,49,60,65,65
8846837500,6,6,6,14,16,16,16,20,21,21,21,21,21,21
13105671300,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8227559800,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6701720058,4,4,4,4,4,4,8,8,8,8,8,8,8,8
6507119311,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8546094600,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602575815,4,4,4,4,4,4,4,4,4,4,4,4,4,4
57196669317,5,5,5,5,8,8,8,8,8,8,8,8,8,8
12546190900,6,6,6,6,6,6,6,6,6,6,6,6,6,6
15070161600,3,4,5,7,7,7,7,7,7,7,7,7,7,7
55580318300,4,4,4,4,4,4,4,4,4,4,4,13,13,13
6506471121,13,13,13,13,14,14,14,14,14,14,19,19,19,19
6602921174,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35592489100,6,6,6,9,9,9,9,9,9,9,9,9,9,9
15136752000,9,14,14,14,14,14,14,14,14,14,14,14,14,14
7005741798,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15922467200,7,11,11,11,11,11,11,11,11,11,11,11,11,11
14028497800,3,3,4,4,4,4,4,4,4,4,4,4,4,4
7101854016,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7006446498,4,4,4,4,4,4,4,4,4,4,4,4,4,4
35285492200,32,32,32,32,32,32,32,32,32,32,32,32,32,32
24477880400,1,1,3,3,3,7,7,7,7,7,7,7,7,7
8900897200,3,3,3,3,3,3,3,3,3,3,3,3,3,3
14831661100,2,2,2,2,2,9,11,11,11,33,40,40,57,58
6508258022,2,2,2,6,6,6,14,19,21,22,22,22,30,30
8365694500,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6603772150,2,2,2,2,2,2,2,2,2,2,2,2,2,2
25627710700,6,6,6,10,10,10,10,10,13,13,17,17,17,17
6602845370,5,5,5,5,10,10,10,10,10,14,14,14,14,14
9279061700,3,4,4,4,4,5,5,5,5,5,5,5,5,5
8533168500,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6602997129,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7202219362,4,7,7,7,7,7,7,7,7,7,7,7,7,7
6504763098,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26424787900,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7005028551,49,49,49,59,59,59,61,61,63,63,63,63,72,74
35268684200,7,7,7,7,7,7,7,7,7,7,7,7,7,7
9839315500,8,8,8,8,8,8,8,16,16,16,16,16,16,16
14058137300,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7006441205,6,6,6,6,6,6,6,6,6,9,9,9,9,9
6506872337,2,2,2,2,2,2,2,2,2,2,2,2,2,2
35285481200,32,32,32,32,32,32,32,32,32,32,32,32,32,32
9639062600,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9275412900,4,4,4,4,4,4,4,4,4,4,4,4,4,4
19337293000,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6506052546,4,4,4,4,4,4,4,4,4,4,4,4,4,4
56534056400,9,9,9,9,9,9,9,9,9,9,9,9,9,9
55947082600,18,18,18,18,18,18,18,18,18,18,18,18,18,18
8882790600,3,3,3,3,3,3,7,7,8,8,10,10,10,10
8283357200,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9250215800,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56835133800,5,5,5,5,5,5,5,5,5,5,5,5,5,5
56212007000,2,2,2,2,2,2,2,5,5,5,5,5,5,5
54983676000,2,2,2,2,2,2,2,2,2,2,2,2,12,12
8233645500,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7005000884,10,15,15,15,15,15,15,15,15,15,15,15,15,15
6602906195,3,3,3,3,3,4,4,6,10,11,15,17,18,18
55514874300,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8546363300,25,25,25,25,25,25,25,25,25,25,25,25,25,25
6701777779,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6602792566,3,3,3,3,3,3,3,3,3,3,3,3,3,3
35181827800,2,2,2,2,4,5,5,5,38,40,41,41,41,44
7801471217,2,6,6,13,13,13,13,13,13,13,13,13,13,13
9275055900,9,15,15,15,15,15,15,15,15,15,15,15,15,15
10738828300,11,11,11,11,11,11,11,11,11,11,11,11,11,11
7406280812,56,56,106,185,185,259,259,259,274,284,290,291,307,310
7404951572,13,13,13,13,13,13,13,13,13,13,13,13,13,13
8582074400,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7101988263,13,13,39,39,39,39,39,39,39,39,39,39,39,39
12786248800,6,6,6,6,6,6,6,6,6,6,6,6,6,6
15020195900,4,4,4,4,8,8,8,8,8,12,12,12,12,12
24468344400,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23974385200,2,2,2,3,3,3,3,3,3,3,3,3,3,3
16069304700,2,2,3,3,3,3,3,3,4,4,4,4,4,4
6508017775,13,13,15,15,15,15,15,15,15,15,15,15,15,15
57204294449,5,5,5,5,5,5,5,12,12,12,12,12,12,12
7005159195,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6507656552,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8892483200,11,11,11,11,11,11,11,11,11,11,11,11,11,11
8920846400,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7406673377,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24725814200,9,9,13,13,13,15,15,15,15,15,15,15,15,15
6602476084,3,3,3,3,3,3,3,3,3,7,7,7,7,7
6507531880,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7003303563,24,28,28,28,28,28,28,28,28,28,28,28,28,28
7003390020,4,7,7,7,7,7,7,7,7,7,7,7,7,14
13906068500,9,9,15,17,17,17,17,17,17,17,17,17,17,17
8925187000,7,7,7,7,7,7,7,7,7,7,7,7,7,7
25723618700,4,4,4,4,4,4,4,8,8,8,8,8,8,9
8983042400,2,2,2,2,2,2,2,2,2,2,2,2,2,2
35867516200,11,11,11,11,11,11,11,11,11,11,11,11,18,19
10244261700,38,38,38,38,38,38,38,38,38,38,38,38,38,38
8433192100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57204374015,3,3,3,3,6,7,8,8,12,12,12,12,12,12
6507971886,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8972956700,1,1,1,1,4,4,4,4,4,4,4,4,4,4
22734607700,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13608679000,4,4,4,4,4,5,9,9,13,14,18,20,22,25
57199338736,4,4,8,8,8,8,8,8,8,8,8,8,8,8
35757772600,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23393058000,4,4,4,4,4,4,4,4,4,4,4,4,4,4
55308591900,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56205423500,7,7,14,14,14,14,14,14,14,14,14,14,14,14
10739877300,2,2,2,2,2,2,2,2,2,2,3,3,3,3
7005396019,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55836717000,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6603962601,14,14,14,14,14,14,14,29,29,29,29,29,29,29
7005739626,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57200749424,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7004254837,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55911821400,10,10,10,10,10,10,10,10,10,10,16,18,24,25
8333356300,3,3,3,3,3,3,3,3,3,3,3,3,3,3
57196899117,2,2,2,2,2,2,2,2,2,2,2,2,2,2
55720042100,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8896009800,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56617506900,6,7,7,7,7,7,7,7,7,7,7,7,7,7
7004278944,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35550246000,6,6,10,10,10,16,16,16,16,16,16,16,16,16
8616893200,10,10,10,10,10,10,10,10,10,10,10,10,10,10
56534017900,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56300790500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602760785,4,5,7,7,7,9,12,17,18,26,27,27,27,27
8713482500,3,3,3,3,3,3,3,3,3,3,3,3,3,3
10141205000,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14832488600,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6603514903,4,4,4,4,4,4,4,4,4,4,4,4,4,4
55387260700,2,2,2,2,2,2,2,2,2,6,8,8,8,8
7006486878,48,48,48,48,48,48,48,48,48,48,48,48,48,48
14022423800,2,2,2,3,3,3,3,3,3,3,3,3,3,3
24767573500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19639311600,11,11,11,11,11,11,11,11,11,11,11,11,11,11
6506997690,4,4,4,4,4,4,4,4,4,18,18,18,18,22
8242791300,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23394243400,2,2,3,3,3,3,3,3,3,3,3,3,3,3
7006835031,4,4,4,4,11,11,11,11,13,15,17,17,17,17
8301213200,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7004515199,2,3,3,3,3,3,4,4,4,4,4,4,4,4
35580211400,21,21,21,21,21,21,21,21,21,21,21,21,21,21
14058531100,1,3,3,3,3,8,8,8,8,8,8,10,10,10
13407295500,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7003276690,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6602115261,5,7,10,10,10,10,10,10,10,10,10,10,10,10
55664916100,2,5,6,6,6,6,6,7,7,7,7,7,7,8
23397120700,9,18,18,23,23,23,23,23,23,23,25,25,25,26
15073664800,2,2,2,2,2,2,6,7,17,17,17,17,19,19
14034953100,19,38,60,60,60,60,60,60,60,60,60,60,60,60
9640155700,6,6,6,6,6,6,6,6,6,6,6,6,6,6
57203935439,9,11,11,11,11,11,11,11,11,11,11,11,11,11
6701366133,2,6,11,12,18,33,36,39,41,43,51,51,58,62
8837234400,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9432422300,10,10,10,10,10,10,10,10,10,10,10,10,10,10
8454131600,3,5,5,5,5,5,5,5,5,5,5,5,5,5
24483050500,3,3,3,3,3,20,20,20,20,29,30,30,30,30
13905683400,4,4,4,4,4,4,4,4,4,4,4,4,4,4
9839302900,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602107670,6,6,6,6,6,6,6,6,6,6,6,6,6,6
54582437500,2,3,3,3,3,3,3,3,3,3,3,3,3,3
55890694300,2,2,2,2,8,8,8,8,9,9,16,17,20,21
14032162200,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11339804900,3,3,6,6,6,6,11,11,12,30,32,32,32,32
6506644824,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23390381800,2,2,5,7,7,9,15,16,17,17,17,17,17,17
6603119910,8,8,8,8,8,8,8,8,8,8,8,8,8,8
56265403600,6,6,6,7,7,7,7,7,8,8,8,8,9,13
14016703100,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7409387247,4,4,4,5,5,5,5,5,5,5,5,5,5,5
55910634600,1,1,2,2,2,2,2,2,2,6,6,6,6,6
8385881400,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57199501317,95,95,95,95,95,95,95,95,95,95,95,95,95,95
7005511944,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8717429900,2,2,4,6,6,6,6,6,6,6,6,6,6,6
8325225100,5,5,5,5,5,5,5,5,5,5,5,5,5,5
56109090300,21,21,21,28,28,28,28,28,28,28,28,28,28,28
7004593773,8,8,8,8,8,8,8,8,8,8,8,8,8,8
7003985385,3,6,6,6,6,6,6,6,6,6,6,6,6,6
26325072400,1,1,1,1,1,1,1,1,1,1,3,3,3,3
6602491592,5,9,9,9,9,9,9,9,9,9,9,9,9,9
14009234200,2,2,2,2,2,2,2,2,2,2,2,2,2,2
35429999200,6,6,6,6,6,6,6,8,8,8,8,8,8,8
57193087285,12,12,12,12,12,12,12,12,12,12,12,12,12,12
36489335800,2,2,2,2,2,2,2,2,6,6,6,6,6,6
8529458100,3,3,3,3,4,4,4,4,4,4,4,4,4,4
8928394700,1,2,2,2,2,2,2,2,2,2,2,2,2,2
57194806873,2,2,2,2,2,2,2,2,2,2,2,2,2,2
57056545500,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6603948920,12,12,12,12,12,12,12,12,12,12,12,12,12,12
55913012300,5,5,5,5,5,8,8,8,8,8,8,8,8,8
24471128400,2,2,2,3,3,3,3,3,3,3,5,7,7,7
8247913500,2,2,2,2,2,2,2,2,2,2,2,2,2,2
8521156000,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6603291257,2,2,2,2,2,2,2,2,2,2,2,2,2,2
56221481300,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7006113403,3,5,5,5,5,5,5,5,5,5,5,5,5,5
12752880700,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8972776100,2,4,5,5,5,6,8,8,8,8,8,8,8,8
24066803200,2,2,2,2,2,2,10,10,10,10,10,10,10,15
12789360100,3,5,8,9,10,15,20,21,26,30,31,35,36,39
7102894395,4,4,4,5,6,6,9,15,24,29,32,44,51,60
37022886800,1,1,1,1,1,1,1,1,3,3,3,3,3,5
8858674400,3,3,3,3,3,3,3,3,3,3,3,3,3,3
