Unnamed: 0,ID,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
175,7003386216,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
188,56974071200,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1997
218,56627848400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
246,35911026000,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1997
258,6602461007,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
317,6602534173,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
358,7003768034,4,4,4,4,4,4,4,4,4,9,9,9,9,9,17,17,17,17,17,17,17,17,1997
391,36936266300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
501,16031600600,6,6,6,6,6,6,6,6,28,28,28,28,28,28,28,28,28,28,28,28,28,35,1997
508,23011698200,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,1997
520,8717735800,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,9,9,9,9,9,1997
530,16642938700,7,7,7,8,8,10,10,10,10,13,17,18,18,18,23,24,25,25,27,29,29,32,1997
665,55976264400,3,3,4,4,4,4,4,5,5,7,8,8,8,10,10,11,11,13,14,15,15,16,1997
686,7101988086,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1997
692,7004654275,2,4,4,4,4,4,4,4,10,10,11,11,11,11,11,11,11,11,11,11,11,11,1997
731,6602079064,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
782,36078843500,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1997
800,7101942414,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
831,57196523795,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1997
860,6701795688,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1997
892,6506835533,1,1,1,1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,1997
1090,7102926112,3,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,8,9,9,9,9,9,1997
1092,56733172800,10,10,10,14,14,14,15,15,16,22,22,22,37,37,37,55,55,55,55,55,55,55,1997
1098,56971251300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
1204,6505742635,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
1223,7402490140,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
1468,57197947473,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
1546,6701538538,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1997
1561,6602625588,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
1579,7005161988,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
1760,7005186901,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1997
1903,6603279008,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1997
1963,6603964117,3,5,8,9,14,19,24,31,32,44,51,55,57,63,68,68,89,94,97,97,100,100,1997
2013,6603892530,4,4,6,22,25,25,25,31,33,39,40,45,47,69,69,74,74,87,87,109,127,143,1997
2017,6505838707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1997
2168,7006357115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,18,18,1997
2258,6602828038,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1997
2278,7005929387,4,16,24,31,44,52,54,54,54,56,64,70,72,72,84,84,84,84,84,96,96,96,1997
2486,57073281300,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1997
2570,7004065818,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,1997
2612,7202738533,7,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1997
2615,57062966400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
2674,6602489894,4,6,6,6,6,6,6,6,6,6,17,17,17,17,33,36,36,36,36,36,36,36,1997
2815,57105753400,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1997
2889,7005797411,3,3,3,7,8,8,11,17,30,35,42,50,50,53,58,64,64,64,64,64,64,64,1997
