ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7005295515,2,4,4,6,6,10,10,10,10,10,11,11,11,11,13,14,15,15,15,15,17,17,17,18,18,18,19,19,19
6701597437,4,4,4,4,4,4,4,7,7,7,7,7,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
7004539701,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6602743159,3,3,5,5,5,5,5,5,5,5,7,7,7,9,9,16,16,16,16,16,16,16,16,16,16,16,16,16,16
7801688542,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,14,14,15,19
7007039379,2,2,3,3,6,7,7,7,16,16,16,21,25,28,28,28,28,33,34,34,36,38,39,41,41,41,41,44,44
7005850586,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6602336332,1,1,1,1,1,1,1,1,9,9,9,13,13,13,17,17,17,17,17,17,17,17,25,25,25,25,25,26,26
7004086855,1,1,1,10,11,18,21,24,31,31,40,42,45,47,47,50,52,53,53,56,56,56,56,56,57,57,57,57,58
36508156200,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7005059670,3,3,3,5,5,5,5,5,7,7,7,10,18,18,18,18,18,18,18,18,21,21,21,21,21,21,21,21,21
6602841964,2,2,2,3,3,7,7,8,8,8,8,8,8,8,10,10,11,12,13,17,19,19,20,20,21,21,22,24,24
7003389028,1,2,6,7,10,10,13,13,14,14,18,20,24,24,24,24,26,30,32,38,39,39,41,43,45,45,45,45,46
6602657989,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
55884702600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6602308193,4,4,4,4,4,4,4,4,7,8,8,8,8,8,12,12,12,14,15,15,15,15,17,17,17,17,17,17,17
7401900166,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6701721644,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,15,15,16,17,18,20,23,23,23,29,29,29,29,31
56034378200,2,2,2,2,2,2,4,5,5,5,5,6,10,10,51,56,88,109,145,150,178,186,225,229,257,270,281,308,311
6603682214,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
55811564100,1,1,1,1,1,1,1,1,1,1,2,2,2,5,8,8,9,9,9,9,18,20,20,24,37,37,40,40,41
7007030575,2,2,2,4,4,4,4,5,5,10,10,13,13,13,14,17,17,21,25,30,30,35,37,40,41,42,47,54,64
