Unnamed: 0,ID,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
11,6506145608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
26,6504202250,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
89,6701717022,2,2,2,2,2,4,4,4,7,9,11,11,11,11,11,11,11,2002
149,55883275100,1,5,6,6,6,8,9,9,10,10,13,13,13,14,14,14,14,2002
176,6506232454,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
187,7402139139,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
224,55389033000,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
266,36238070700,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2002
317,7402790968,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2002
390,12545635900,4,4,4,14,17,21,21,21,21,21,21,21,25,25,25,25,25,2002
405,56067237100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
423,57197890326,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
425,24766142600,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,2002
443,14628445300,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
478,57189257897,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
503,6603539998,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2002
519,15042854400,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
521,6603646692,2,2,8,8,8,8,8,8,8,10,12,15,15,25,25,25,25,2002
524,56031467700,3,3,3,3,3,3,8,13,13,13,18,18,18,28,28,28,28,2002
566,57188829558,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
578,6602567419,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
636,55436580800,4,4,4,4,6,6,7,9,9,9,9,12,12,12,14,14,16,2002
646,8620148200,16,16,19,26,34,34,42,42,76,76,78,78,106,106,180,180,227,2002
675,35446002900,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2002
686,55813908400,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
784,57197970533,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2002
851,56097122900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
854,7201608204,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
882,7004543110,5,5,5,6,6,6,6,6,8,10,10,10,11,38,38,38,38,2002
930,7003652882,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
965,14056666500,15,15,15,15,18,18,18,18,18,26,27,27,32,32,40,40,40,2002
972,23670246400,5,5,11,11,11,20,22,47,52,52,52,52,52,52,52,53,53,2002
1045,7003691378,38,38,44,44,46,46,46,46,77,77,77,77,77,77,77,96,96,2002
1048,6505485968,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2002
1077,6507353514,5,5,5,5,7,18,18,18,18,18,18,18,18,18,18,18,18,2002
1089,6604061280,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
1108,7801552910,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
1161,6507246762,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
1225,56992881400,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
1293,56619910100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
1295,6505754007,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,2002
1331,8616022800,3,4,4,4,4,4,4,4,4,4,4,4,4,7,7,11,11,2002
1402,8326623700,3,4,4,4,4,8,8,11,11,13,16,16,16,22,24,24,24,2002
1429,6603581991,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
1464,6603060728,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
1485,6603614395,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
1581,23098144600,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
1604,23391933400,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,2002
1611,6507573940,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
1653,7401795392,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2002
1727,14632020000,4,4,4,12,12,12,14,28,36,38,42,46,46,54,64,69,70,2002
1754,7201351746,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
1756,55174217600,15,15,15,15,15,15,15,34,34,34,83,83,83,83,83,83,83,2002
1775,15848569700,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
1844,55439552600,12,12,32,32,51,51,78,78,91,91,91,91,129,129,129,186,186,2002
1851,55876500500,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
1896,7003933970,84,100,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,2002
1947,8869759000,3,3,3,3,3,18,18,18,21,21,21,21,21,28,29,29,29,2002
1963,6602174692,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
1972,6603438406,2,10,10,10,16,25,26,38,38,44,53,80,86,97,100,114,131,2002
1975,6602719731,84,100,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,2002
1993,7801425157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
2066,16067854600,2,2,2,2,2,8,16,17,52,52,54,83,85,85,85,133,133,2002
2069,57189258822,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
2185,6506637084,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
2205,6603823286,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2002
2254,22933381000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
2277,7006523599,3,3,3,6,6,6,7,7,7,7,7,7,7,7,7,7,7,2002
2308,6603585567,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
2370,7201645571,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
2406,55952572800,5,5,5,5,8,15,28,32,35,37,40,44,44,51,52,55,57,2002
2462,6603119850,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2002
2463,7004883672,20,20,20,20,20,20,20,48,61,61,61,61,61,61,61,61,61,2002
2464,55663078600,1,1,1,2,2,2,2,2,2,2,2,7,7,7,7,8,8,2002
2540,56890300000,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
2677,55906669600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
2707,7102829937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002
2718,6603857535,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
2730,23467907100,2,2,2,2,8,8,8,15,17,17,17,17,17,17,17,17,17,2002
2755,6602773226,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,2002
2829,6507545164,1,1,2,2,2,5,5,5,5,5,6,6,6,6,7,7,7,2002
2837,7003821160,2,4,4,4,10,10,11,11,11,11,11,11,11,11,11,11,11,2002
2888,23502006600,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2002
2962,56884544600,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
2991,55520453900,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
3004,21833890500,2,2,2,2,2,2,2,4,4,6,6,6,6,6,6,6,6,2002
3008,6507316484,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2002
3039,6507052826,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
3072,7404071092,1,1,1,3,5,5,5,5,5,8,8,8,12,12,12,12,12,2002
3156,7004408692,21,21,21,21,78,78,78,78,78,78,78,78,89,89,194,194,194,2002
3197,8309001800,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2002
3199,8705778800,5,8,8,9,10,15,22,31,42,50,64,74,81,92,94,95,96,2002
3207,6507136296,4,4,4,4,9,9,9,9,9,9,9,9,9,9,38,38,38,2002
3274,23469591600,2,2,2,2,4,5,8,11,11,11,11,11,11,13,14,14,14,2002
3315,6603102301,3,3,3,3,3,3,3,4,6,6,9,9,9,10,11,12,20,2002
3340,7003513682,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2002
3395,7003805414,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
3512,57197267116,6,6,6,6,6,6,6,6,6,6,6,12,12,12,12,12,12,2002
3553,55389060900,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2002
3616,16024863500,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2002
3628,6507682441,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2002
3661,7003765137,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2002
3678,7501542249,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2002
3730,7801308698,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
3779,7202532047,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2002
3796,35801122200,9,9,9,9,11,11,11,14,14,18,18,29,29,29,39,39,39,2002
3797,7006511537,7,7,7,8,8,8,8,8,8,8,8,21,28,28,37,37,37,2002
3812,6504656588,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2002
3881,57193674310,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
3906,12645434100,4,4,4,4,7,7,22,26,26,37,43,48,48,48,55,55,73,2002
3919,35110060400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
3939,6603397689,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
3958,36185608200,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,9,9,2002
3995,6603762778,15,15,49,49,49,49,49,49,49,49,49,49,49,49,77,77,151,2002
4012,57198015181,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2002
4015,55979092400,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2002
4045,7401856169,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2002
4074,23008795500,8,8,8,8,8,8,8,8,8,8,8,8,63,63,63,63,63,2002
4076,7102522189,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2002
4085,7005234925,1,1,3,3,3,3,3,5,5,5,6,9,9,9,9,9,9,2002
4089,22734966200,2,2,2,2,2,2,2,2,2,2,4,4,7,7,14,14,14,2002
