ID,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
14041529400,3,3,3,4,7,7,8,8,10,10,16,16,22
7005446642,1,1,1,1,1,1,1,1,1,1,1,1,1
14035100800,2,2,2,2,2,2,2,4,11,11,16,19,23
55926212600,4,4,4,11,11,40,40,48,48,48,48,48,48
6701740560,1,1,1,1,1,1,1,1,1,3,3,6,8
7005140378,6,6,6,6,6,7,11,11,11,11,11,11,11
35280489500,7,7,7,7,7,7,13,13,13,13,13,20,20
35550506900,8,8,8,8,8,8,8,8,8,8,8,8,8
8252143000,3,4,6,7,9,10,11,22,34,34,34,34,34
6506651931,2,2,5,5,5,5,5,5,5,8,8,8,8
7402283467,6,6,6,6,6,6,6,6,6,14,14,18,38
7405692762,2,2,2,2,2,2,2,2,2,2,2,2,2
6701806568,24,24,24,24,24,24,24,24,24,24,24,24,24
13407832400,4,4,6,6,6,6,8,8,8,8,10,10,11
7004946351,35,35,46,46,59,59,119,122,132,132,132,132,132
23390547500,9,14,14,16,18,20,25,25,25,28,28,28,29
6603067743,4,4,4,4,4,4,4,4,4,4,4,4,4
55395216900,2,2,2,2,2,2,2,2,2,2,2,2,2
15021393100,2,2,2,2,2,5,6,9,9,9,9,10,10
7102121832,2,3,4,4,4,4,5,12,16,32,37,42,50
8255024300,59,59,59,59,105,105,109,109,114,114,178,178,178
55666574500,11,14,36,41,47,55,76,100,125,145,169,199,216
24070671100,3,3,3,8,10,14,16,17,18,27,29,29,34
6507739557,6,6,6,6,6,6,6,6,6,6,6,6,6
7003570500,5,5,5,5,5,5,5,5,7,7,7,7,7
8390339900,3,3,3,3,3,3,3,3,3,3,37,37,37
7004299544,18,18,18,18,18,18,18,18,18,18,18,18,18
55059470800,34,34,37,37,37,37,85,85,91,91,97,97,97
7006711679,49,49,70,79,79,79,80,80,86,86,100,100,116
7006151112,7,7,7,7,7,7,7,7,7,7,7,7,7
12139656400,1,1,1,1,3,3,3,3,7,7,7,8,12
26432515100,9,9,9,9,9,15,18,35,41,45,45,54,54
23478151500,1,3,7,9,11,17,25,31,34,36,48,58,65
7102154502,2,2,2,2,2,2,2,2,2,2,2,2,2
6602999368,3,3,3,6,6,6,6,6,6,6,6,6,6
24172351000,2,2,2,2,4,4,6,6,8,8,10,10,10
6603805418,43,43,43,43,43,43,43,43,43,43,43,43,89
6507892784,14,14,14,14,14,14,14,14,14,14,14,14,14
8633656800,10,10,10,10,10,10,10,10,18,18,18,18,18
15760139600,2,2,4,4,7,9,10,11,19,28,33,52,65
56277522400,2,5,5,5,5,5,5,5,5,5,5,5,5
24765929900,4,4,17,21,21,22,23,23,26,50,54,57,57
6603995403,3,3,3,3,3,3,3,3,3,6,6,6,6
7004182648,1,1,1,1,8,8,8,8,8,8,8,8,8
6602141538,2,7,10,10,10,10,14,17,18,19,27,31,32
6507953724,65,65,65,65,65,65,65,65,65,65,65,65,65
7201606394,2,2,2,5,5,5,5,5,5,8,8,8,8
6504270019,1,4,4,4,4,4,8,12,13,13,13,13,13
7801595578,4,6,6,6,7,7,7,7,8,8,8,8,9
7103308338,2,2,2,2,2,2,2,2,2,2,2,2,2
6602847961,3,3,3,3,4,4,5,5,5,5,5,5,5
23007929700,1,3,7,9,10,17,20,24,28,34,34,36,41
15035394000,4,4,4,4,4,4,4,4,4,4,4,4,4
8342925400,3,3,9,9,9,9,9,9,9,9,57,93,103
17346501400,4,8,8,8,15,16,23,25,28,28,29,29,29
57196663112,4,7,10,10,12,12,13,15,15,15,15,21,21
7003287775,2,2,2,2,2,2,2,2,2,9,9,11,11
8611886100,65,65,65,65,95,95,95,95,95,95,95,106,148
7801494391,4,8,8,8,8,8,8,8,13,14,15,15,21
12645446400,2,3,3,3,3,16,16,16,17,20,20,26,26
6508072905,36,36,36,36,40,40,42,42,43,43,47,47,47
11141215200,8,8,8,8,8,8,8,12,12,12,12,12,12
6701822087,2,2,2,2,2,2,2,2,2,2,2,2,2
55204170800,6,6,6,6,6,6,6,6,6,6,23,23,23
56560938200,36,56,56,61,69,69,78,78,150,150,220,220,224
8299613700,2,2,2,2,5,5,6,6,6,6,6,6,9
6602592419,24,24,25,25,48,48,79,79,96,96,96,96,96
22978164500,4,4,4,4,4,4,4,4,4,4,4,10,10
26665747200,1,1,1,1,2,3,4,4,4,4,4,4,4
6602577068,8,8,43,81,98,109,109,109,131,136,168,199,214
7403479848,25,25,38,38,67,67,82,82,82,82,85,85,134
6602735389,7,7,7,7,7,7,7,7,7,7,7,7,7
8556196600,4,4,4,8,8,8,8,8,10,12,17,19,19
6602730249,24,24,29,35,35,35,40,40,40,56,64,64,64
34972907200,2,2,2,2,2,6,8,9,9,9,12,15,16
25653613600,2,2,8,8,13,13,19,19,24,24,28,34,34
23068317200,17,17,17,17,17,17,17,17,17,17,17,17,17
6505757966,26,26,65,65,111,114,131,131,178,178,213,217,217
56962771800,2,2,3,3,3,4,4,5,5,6,6,6,6
6603434954,3,3,3,3,3,3,3,3,3,3,3,3,3
36818528100,8,8,14,14,25,25,29,50,50,63,63,63,68
24399579200,3,3,7,10,19,23,33,33,45,49,49,51,57
6602621766,5,5,5,5,5,5,11,11,11,11,11,11,11
14033040400,3,3,3,3,4,7,8,8,13,16,20,24,27
6603268899,2,2,3,3,3,3,4,4,8,8,9,9,9
23481940100,3,3,3,4,4,6,6,10,10,10,11,11,15
7006162933,7,7,7,7,7,9,9,9,9,9,9,9,9
7006635908,9,9,16,16,16,16,16,21,30,30,30,30,30
7102019245,3,3,3,3,3,3,3,3,3,3,3,3,3
23395808100,1,5,5,5,5,5,5,11,11,14,14,15,15
55904143200,4,4,4,4,4,4,4,4,4,4,4,4,4
12546135800,2,2,2,2,2,2,2,2,2,2,2,2,2
23388852400,4,5,8,10,19,26,36,41,41,49,53,54,56
24921822500,3,4,7,13,13,18,18,20,30,30,34,35,36
56265853100,14,14,14,14,14,14,14,14,14,14,38,38,41
7003937814,4,4,4,4,4,4,4,4,22,23,23,23,23
7003452961,9,9,9,9,9,9,9,9,9,9,9,9,9
57158788100,3,3,3,3,3,3,3,3,3,3,3,3,3
15041543900,3,3,3,3,4,11,17,17,25,27,27,27,27
35227984800,15,15,19,19,19,19,19,19,19,19,19,19,19
7004191595,3,3,3,12,12,12,12,12,12,12,12,12,12
23486553100,7,16,16,16,16,16,16,16,16,16,16,21,21
12760333800,5,5,5,8,8,8,8,8,20,20,28,28,28
16548796100,4,5,5,13,13,18,22,22,22,22,23,23,23
6603922891,1,1,5,10,10,10,10,10,10,19,30,30,30
7005561370,4,4,4,4,4,4,4,4,47,47,47,47,47
35416631400,5,5,5,5,5,5,5,5,5,5,5,5,5
16069121000,2,2,2,2,2,2,3,3,5,12,18,18,22
15044867600,2,2,6,8,9,9,10,11,11,14,14,14,14
6603347305,8,22,22,36,36,36,36,36,46,50,50,50,50
35195466100,5,5,7,7,14,14,19,19,19,26,31,33,43
16645258700,1,1,6,10,12,15,16,16,16,16,16,20,20
7407660155,2,3,3,3,3,3,4,4,4,4,4,4,4
7005954102,4,4,4,4,4,4,4,4,4,4,4,4,4
7101689451,7,7,7,7,7,7,7,18,18,18,18,18,18
9236372700,2,2,2,2,2,2,2,2,4,5,7,7,7
6701324987,20,20,28,28,28,28,28,28,28,28,158,158,158
7004436970,2,11,11,11,11,11,23,25,25,25,25,25,25
35146413200,3,3,3,3,3,3,8,8,8,8,8,8,8
12791191700,2,2,2,2,6,6,6,6,6,6,6,6,6
35312953000,26,26,30,30,34,34,34,34,84,84,84,84,116
15622982000,2,3,4,4,5,13,20,29,39,44,49,62,70
55865127100,6,6,6,6,6,6,6,6,6,6,6,6,6
57200906311,3,3,3,3,11,13,13,25,29,30,30,30,32
21740815500,3,3,3,3,3,3,3,3,9,9,9,9,9
7003818716,1,1,1,33,33,33,35,35,35,35,40,40,40
