Unnamed: 0,ID,2015,2016,2017,2018,start_year
1,8642393600,7,7,7,7,2015
2,55873955900,8,8,8,8,2015
3,49862174900,14,14,14,14,2015
5,55719005700,7,7,7,7,2015
6,35444766700,11,11,11,11,2015
9,56781292200,1,1,1,1,2015
13,34870540900,7,7,7,7,2015
16,56411842000,2,2,2,2,2015
17,23397604200,8,8,8,8,2015
34,56002303200,7,7,7,7,2015
61,56939340300,2,3,3,3,2015
62,57192293609,3,3,3,3,2015
64,56114762600,10,10,10,10,2015
70,22236154700,5,5,5,5,2015
73,35318720900,3,3,3,3,2015
95,7004271887,19,19,19,19,2015
106,55961141700,12,12,12,12,2015
123,36003624100,16,22,22,22,2015
127,36805685400,4,4,4,4,2015
137,27867811000,14,14,14,14,2015
138,55974660200,10,10,10,10,2015
152,16679222000,10,10,12,23,2015
155,57203094083,83,83,83,83,2015
168,57188748169,5,9,9,9,2015
170,57189090439,3,3,3,3,2015
174,56968037900,1,1,1,1,2015
183,57188725838,13,13,13,13,2015
186,56190106200,4,4,4,4,2015
190,56517715300,4,5,7,19,2015
199,56594481000,3,3,3,3,2015
201,55803668500,1,1,1,1,2015
202,9245337700,19,19,19,19,2015
210,12784775300,1,1,3,4,2015
228,55440311600,3,3,3,3,2015
231,56639282800,28,28,28,28,2015
234,55949428900,6,6,6,6,2015
240,55973076900,3,5,5,5,2015
243,56735634200,1,1,1,1,2015
260,56203572900,9,9,9,9,2015
271,56822668900,6,6,6,6,2015
276,57188966321,7,7,7,7,2015
277,34870116100,59,70,70,70,2015
282,57192808992,4,4,4,4,2015
288,57196873890,28,28,37,37,2015
289,56156269900,7,7,7,7,2015
304,57035243200,2,2,2,2,2015
322,56682052900,2,2,2,2,2015
331,55143899600,1,1,1,1,2015
334,57023907900,6,6,6,6,2015
345,55323058900,3,3,3,17,2015
351,57190068018,8,8,8,8,2015
357,24528388600,2,2,2,2,2015
363,56986641200,5,5,5,5,2015
365,8704767900,7,7,7,7,2015
385,54790605200,13,18,18,19,2015
389,56960580700,5,5,5,5,2015
396,26424457400,56,56,63,67,2015
397,56100634400,16,16,16,16,2015
401,56463349600,25,25,25,25,2015
406,56769182700,7,7,7,7,2015
410,56779730100,3,4,4,4,2015
413,6603095657,3,3,3,3,2015
419,35607238200,4,4,4,4,2015
420,57016833800,82,82,82,82,2015
426,15765290300,2,2,2,2,2015
432,55977742700,56,56,56,56,2015
434,14027991800,7,7,7,7,2015
443,56879182000,2,2,4,4,2015
447,56393857000,9,11,12,15,2015
458,57188962583,4,4,4,4,2015
464,34168027600,5,5,9,9,2015
469,16229169400,10,10,10,10,2015
475,56890365100,3,3,4,4,2015
491,7004832773,11,17,17,17,2015
492,6602838973,1,1,1,1,2015
495,56529715900,2,2,2,2,2015
504,7003289125,5,5,5,5,2015
515,56879056100,6,11,11,11,2015
516,55944810600,2,2,2,2,2015
518,27567563000,7,7,7,7,2015
521,56709343000,13,13,25,25,2015
528,56472768900,5,5,5,5,2015
538,57193160818,2,2,2,2,2015
540,57170844100,22,22,22,22,2015
542,25522904400,3,3,3,3,2015
550,57189319888,10,10,10,10,2015
551,57193696999,4,4,4,4,2015
554,57204318540,8,8,8,8,2015
555,57189490405,10,10,10,10,2015
559,36941201600,3,3,3,3,2015
563,7601482975,3,3,3,3,2015
570,57170851300,2,2,4,4,2015
573,56433303600,7,9,11,12,2015
574,8894760600,4,4,4,4,2015
578,55551467600,3,3,3,3,2015
581,55800383500,4,4,4,4,2015
587,56606231300,6,6,6,6,2015
592,50462041300,8,11,11,14,2015
611,7404679473,2,6,6,6,2015
625,56925439000,3,3,4,4,2015
630,56646419100,3,3,3,3,2015
631,56318768900,2,2,2,2,2015
637,6506318631,3,3,7,7,2015
638,9639192600,25,25,25,25,2015
642,55973005700,4,4,4,4,2015
648,55352871800,3,4,7,7,2015
658,56919530000,3,4,4,4,2015
664,56825987400,2,2,2,2,2015
685,56606251800,6,6,6,6,2015
686,56643004500,7,7,7,7,2015
688,57190965041,2,2,2,2,2015
690,57003119100,2,2,2,2,2015
698,56072896600,7,8,8,8,2015
699,6602901590,2,2,6,6,2015
718,54791013000,3,3,3,3,2015
732,55576500000,15,18,18,18,2015
739,56695336800,9,9,9,9,2015
740,35073828000,5,5,5,5,2015
747,55581804600,2,2,3,3,2015
748,41760952900,3,3,3,3,2015
763,56903407200,67,67,67,67,2015
770,10042530700,2,2,2,2,2015
781,56993349700,4,4,4,4,2015
782,7005213217,28,28,28,28,2015
783,56999928900,3,3,3,3,2015
793,56176857700,5,5,5,5,2015
795,6507932232,2,2,2,2,2015
800,56568148800,6,6,6,6,2015
801,22953696000,4,4,4,4,2015
806,56655186300,2,2,2,2,2015
825,8724027300,11,11,11,16,2015
840,56347582000,12,12,12,12,2015
863,56411938600,5,5,5,5,2015
884,56487891100,19,19,19,19,2015
887,57188824996,4,4,4,4,2015
890,55988817200,7,7,7,7,2015
902,8416287300,6,6,6,6,2015
913,15726314100,2,5,5,5,2015
914,55806985600,3,3,3,3,2015
941,56534175200,4,11,11,31,2015
942,55067469000,6,6,6,6,2015
943,55332315500,3,3,3,3,2015
946,56946731300,1,1,1,1,2015
949,56029085400,3,3,3,3,2015
959,57188575549,4,4,4,6,2015
962,6507742729,8,12,12,12,2015
974,57188962329,19,19,19,19,2015
986,57196382531,4,4,4,4,2015
994,55250580200,5,5,5,5,2015
998,56333230800,4,4,4,4,2015
1002,55601764500,13,13,13,13,2015
1003,34979425100,9,9,9,9,2015
1007,6508033079,5,5,5,5,2015
1009,55498856500,5,5,5,5,2015
1021,56002104100,3,3,3,3,2015
1025,7003450744,3,3,4,4,2015
1028,56592360300,2,2,2,2,2015
1031,57188719463,13,13,13,13,2015
1034,56605972100,7,7,7,7,2015
1036,35610047500,13,13,13,13,2015
1041,55875921100,6,6,6,6,2015
1047,36809985000,9,13,15,19,2015
1057,14024719500,2,4,6,6,2015
1058,55233664100,2,2,2,2,2015
1061,56600821500,1,1,1,1,2015
1074,57188862232,4,4,5,5,2015
1077,56728591300,10,10,10,10,2015
1093,56006074300,5,5,9,9,2015
1102,56993569700,7,7,7,7,2015
1111,55931808800,12,12,12,12,2015
1112,56938425600,5,5,5,5,2015
1127,7004811414,6,6,6,6,2015
1140,55797619400,5,5,5,5,2015
1146,56543364800,4,4,4,4,2015
1148,57140205200,3,3,3,3,2015
1160,57200736313,7,14,18,19,2015
1168,24382155600,2,2,2,2,2015
1174,56437415000,6,6,6,6,2015
1186,16317498000,3,5,5,5,2015
1187,57144005600,3,3,3,6,2015
1205,6507627907,4,4,4,8,2015
1215,56313373700,5,5,5,5,2015
1219,56030091400,11,11,11,11,2015
1224,56458065600,3,5,7,7,2015
1233,55849672100,9,10,12,14,2015
1244,56695365800,19,19,19,19,2015
1245,39360985900,2,2,6,6,2015
1254,57204021867,8,8,8,8,2015
1268,8634629100,3,3,3,3,2015
1270,55944036600,4,4,4,4,2015
1272,57202390487,3,3,3,3,2015
1278,56516956400,5,5,5,5,2015
1283,56642695700,6,6,6,6,2015
1286,57198279716,4,4,4,4,2015
1288,6508237152,4,4,4,4,2015
1302,7102672958,3,3,3,3,2015
1307,57189887086,3,3,3,3,2015
1313,57201519584,4,4,4,4,2015
1317,55647039100,10,10,10,10,2015
1323,57188758177,2,2,2,3,2015
1326,57150989000,3,4,4,4,2015
1336,50562205300,6,6,6,6,2015
1348,6602342410,11,11,11,11,2015
1356,57203639111,3,3,3,3,2015
1362,37105500000,5,5,5,5,2015
1369,56705480200,4,4,4,4,2015
1370,57188577504,2,3,3,3,2015
1378,56717379200,3,5,5,5,2015
1387,57201828926,9,9,9,10,2015
1392,57198090745,2,2,2,2,2015
1395,56898657900,8,27,29,30,2015
1397,6602769137,5,5,5,5,2015
1400,57192311849,4,4,4,5,2015
1407,35613648200,7,7,7,7,2015
1412,56600799800,2,2,2,2,2015
1414,57031892500,3,3,3,3,2015
1415,57188553114,6,6,6,6,2015
1417,24777623700,12,12,12,12,2015
1430,57203681819,9,9,9,9,2015
1431,57028309500,3,4,4,4,2015
1442,56562937100,8,8,8,8,2015
1471,55904398100,3,3,3,3,2015
1475,56070906400,6,6,6,9,2015
1485,56926682400,2,3,3,3,2015
1496,6507396660,5,5,5,5,2015
1498,15849341500,11,21,21,21,2015
1514,7402468478,4,4,4,4,2015
1526,22034355400,4,4,4,4,2015
1529,7404628260,1,1,1,1,2015
1531,56120943900,23,23,23,23,2015
1533,57189094855,2,4,4,4,2015
1534,56563108900,15,15,15,15,2015
1544,57189096483,2,12,12,12,2015
1562,57127303000,3,3,3,3,2015
1568,56050004800,4,4,4,4,2015
1579,56729423500,2,2,2,2,2015
1580,57201875146,4,4,4,4,2015
1588,57200622074,56,56,56,56,2015
1603,55932766000,5,5,5,5,2015
1612,57194055692,4,4,4,4,2015
1616,56604816600,3,4,4,4,2015
1618,21743398900,12,12,12,12,2015
1622,36608976800,4,4,4,9,2015
1629,6701895652,12,12,12,12,2015
1642,56878386100,2,2,2,2,2015
1661,9744970800,4,4,5,5,2015
1675,56492758700,3,4,7,7,2015
1677,56026647200,4,4,4,4,2015
1682,56447130200,8,8,8,8,2015
1687,37087855600,5,5,5,5,2015
1688,57055340700,1,1,1,1,2015
1697,57193539226,3,3,3,3,2015
