Unnamed: 0,ID,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
0,6508297663,4,4,4,4,4,7,7,8,8,8,8,8,8,8,2005
7,8980426100,2,5,6,8,14,14,22,24,24,29,34,34,51,53,2005
46,14019498900,3,4,4,7,7,12,12,13,13,13,13,15,15,15,2005
416,6505635037,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
471,6701417695,1,1,1,1,1,1,1,5,5,5,5,5,5,5,2005
591,10142859300,3,4,7,10,12,17,23,23,25,25,25,25,25,25,2005
604,15923420900,7,13,19,22,25,25,28,32,35,42,47,48,48,49,2005
630,55395549800,10,12,12,12,16,16,19,19,19,19,19,19,19,19,2005
714,35607176600,2,2,2,2,2,2,6,6,6,6,6,6,6,7,2005
882,12789909000,1,1,1,1,3,3,3,3,3,4,7,13,21,21,2005
908,7003302108,8,8,8,8,8,8,8,40,40,40,40,62,93,93,2005
926,6507313856,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
974,23397678200,2,2,3,5,8,8,9,9,11,12,12,14,20,29,2005
1018,7004075315,6,6,6,6,6,6,6,9,9,9,9,9,9,9,2005
1144,6603856765,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2005
1163,6603515487,3,3,4,4,4,6,6,6,7,7,9,9,11,21,2005
1318,6506645501,1,2,7,10,12,21,31,39,43,74,81,89,105,108,2005
1356,56262780800,3,6,6,6,6,6,11,12,12,13,14,14,14,14,2005
1374,9739850400,4,8,13,17,24,24,32,33,35,45,46,49,56,56,2005
1402,23092429500,2,3,3,3,3,7,7,8,9,11,13,15,15,15,2005
1440,6507744783,2,2,2,2,2,2,2,2,2,2,2,2,9,9,2005
1472,6602387655,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
1535,21739690800,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
1580,8959846000,2,4,4,6,6,10,10,11,12,13,13,15,16,17,2005
1589,16550617900,4,4,4,4,4,4,6,9,9,9,76,76,76,76,2005
1725,7005333814,6,7,7,7,7,7,12,12,12,12,12,12,12,12,2005
1777,55604019400,5,5,6,13,16,16,18,22,36,45,49,60,65,65,2005
1807,6701720058,4,4,4,4,4,4,8,8,8,8,8,8,8,8,2005
1926,12546190900,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2005
1967,55580318300,4,4,4,4,4,4,4,4,4,4,4,13,13,13,2005
1978,6506471121,13,13,13,13,14,14,14,14,14,14,19,19,19,19,2005
1981,6602921174,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
1991,35592489100,6,6,6,9,9,9,9,9,9,9,9,9,9,9,2005
2182,6508258022,2,2,2,6,6,6,14,19,21,22,22,22,30,30,2005
2213,6603772150,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
2222,25627710700,6,6,6,10,10,10,10,10,13,13,17,17,17,17,2005
2269,6602845370,5,5,5,5,10,10,10,10,10,14,14,14,14,14,2005
2366,7005028551,49,49,49,59,59,59,61,61,63,63,63,63,72,74,2005
2485,7006441205,6,6,6,6,6,6,6,6,6,9,9,9,9,9,2005
2538,6506052546,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2005
2727,8233645500,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
2794,6701777779,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
2798,6602792566,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2005
2802,35181827800,2,2,2,2,4,5,5,5,38,40,41,41,41,44,2005
2938,7406280812,56,56,106,185,185,259,259,259,274,284,290,291,307,310,2005
3030,15020195900,4,4,4,4,8,8,8,8,8,12,12,12,12,12,2005
3123,16069304700,2,2,3,3,3,3,3,3,4,4,4,4,4,4,2005
3168,57204294449,5,5,5,5,5,5,5,12,12,12,12,12,12,12,2005
3276,7406673377,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2005
3416,25723618700,4,4,4,4,4,4,4,8,8,8,8,8,8,9,2005
3482,57204374015,3,3,3,3,6,7,8,8,12,12,12,12,12,12,2005
3544,13608679000,4,4,4,4,4,5,9,9,13,14,18,20,22,25,2005
3638,7005396019,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2005
3694,6603962601,14,14,14,14,14,14,14,29,29,29,29,29,29,29,2005
