ID,2010,2011,2012,2013,2014,2015,2016,2017,2018
14619163500,2,2,2,2,2,2,2,2,2
11738782000,2,2,2,2,2,2,2,2,2
36082756400,3,3,3,3,3,3,3,3,3
36816324700,3,3,3,3,8,9,12,12,12
36453712700,5,5,5,5,5,5,5,5,5
36190699900,6,6,6,6,6,6,6,6,6
55880050400,2,2,2,15,15,15,34,34,34
56835894200,3,26,26,28,28,28,28,28,28
23567554100,3,5,5,5,5,5,8,8,8
36630798700,3,3,3,3,3,3,3,3,3
7004173174,2,11,15,15,15,17,17,17,22
36713774200,2,2,2,2,2,2,2,3,3
54421301400,6,6,6,6,6,6,6,6,6
16024795900,4,4,4,4,4,4,4,4,4
35773795200,6,6,6,6,6,6,6,6,6
36602617400,5,5,5,5,5,5,5,5,5
36615299200,4,4,4,4,4,4,4,4,4
56417168500,5,5,7,7,8,9,9,9,9
8986539700,4,4,4,4,4,4,4,4,4
55731374100,5,5,5,5,5,5,5,5,5
36664812700,3,3,3,3,3,3,3,3,3
55629643800,16,18,18,18,18,18,18,18,18
36149156600,14,14,14,14,14,14,14,14,14
57196716304,4,4,4,4,4,4,4,4,4
36782061800,1,1,1,1,1,1,1,1,1
54397760400,3,3,3,3,6,6,6,6,6
36060113200,6,6,6,7,7,7,7,7,7
6602331414,2,2,2,2,2,2,2,2,2
36816589200,3,3,3,3,3,3,3,3,3
55617584700,3,3,3,3,3,3,3,3,3
36679991000,4,5,5,5,5,5,5,5,5
7202920765,33,36,40,40,48,48,102,102,135
37061485200,8,12,12,23,23,24,25,25,25
6701769322,22,22,22,22,22,22,22,22,22
35101799900,1,1,1,3,3,3,3,3,3
15760500900,22,22,22,29,40,40,40,56,56
6504350389,3,3,3,3,3,3,3,3,3
37074222900,4,6,6,6,8,9,9,9,12
26041121100,5,5,5,5,5,5,5,5,5
57197357863,2,2,2,2,2,2,2,2,2
55612084300,3,3,3,3,3,3,3,3,3
6602934119,2,5,5,5,5,5,9,9,9
36706434100,4,6,6,6,6,6,6,6,6
36239540900,9,9,9,9,9,9,9,9,9
57205051591,4,10,10,10,10,10,10,10,10
35176316700,3,5,7,7,7,7,7,7,7
53879643900,2,2,2,2,2,2,2,2,2
9040778700,2,3,3,3,3,3,3,3,3
36704068100,6,6,9,9,21,25,25,30,30
55256491700,1,3,5,8,8,8,8,10,12
37054657100,11,11,11,11,11,11,11,11,11
24921132200,9,43,44,58,58,68,83,83,83
36184933300,2,2,2,2,2,2,2,2,2
9842396400,3,3,3,3,3,3,3,5,5
57197793190,7,7,7,7,7,7,7,7,7
24331617300,6,6,6,6,6,6,16,16,16
36622910000,5,5,5,5,5,5,5,5,5
36336811900,7,7,7,7,7,7,7,7,7
9635978700,4,4,4,4,4,4,4,4,4
6701479988,5,5,5,5,5,5,5,5,5
35222083800,2,2,2,2,2,2,2,2,2
56538506300,7,7,7,7,7,7,7,7,7
36240435100,6,6,6,6,6,6,6,6,6
57190492621,1,2,2,2,2,2,2,2,2
24377090800,3,3,3,8,8,8,8,8,8
6506341607,4,13,28,46,46,52,70,82,82
41662420000,1,1,1,1,1,1,1,1,1
56022706200,3,34,34,34,34,34,34,34,34
36544152800,3,3,3,3,3,3,3,3,3
8867213600,75,75,75,75,75,75,75,75,75
36469843500,5,7,7,9,9,9,9,11,11
7003463832,14,14,14,14,14,14,14,14,14
24733735600,27,27,27,27,62,62,62,62,62
6603588897,4,4,4,4,4,4,4,4,4
8079328500,7,7,7,7,7,7,15,15,15
35117526000,12,12,17,17,17,17,20,25,33
15060619700,3,3,3,3,3,3,3,3,3
6603316510,5,5,5,10,14,19,19,20,20
36622219400,2,2,2,2,2,2,6,6,10
6504743854,3,3,3,3,3,3,3,3,3
36457213500,3,4,4,4,9,10,10,10,10
6506078081,9,9,12,12,12,12,12,12,12
57191483890,75,75,75,75,75,75,75,75,75
7004567193,15,15,34,34,36,36,77,77,95
36782173700,6,10,11,11,12,14,14,18,18
36466169300,2,6,10,10,10,10,10,10,10
24758900800,4,4,4,18,38,38,38,72,93
56243911300,2,2,2,2,2,2,2,2,2
25926936600,2,2,2,2,2,2,2,2,2
6505808803,5,5,5,5,5,5,5,5,5
