Unnamed: 0,ID,2013,2014,2015,2016,2017,2018,start_year
17,54793525200,4,4,4,4,4,4,2013
21,36059257800,11,11,11,11,11,11,2013
34,8729407200,3,3,3,3,3,3,2013
53,52264444300,3,3,3,5,5,6,2013
82,55920057000,3,3,3,4,4,5,2013
103,7006779373,3,3,3,3,3,3,2013
123,26648420600,10,10,14,14,14,14,2013
134,55270360400,2,2,2,2,2,2,2013
138,55957287600,4,4,4,4,4,4,2013
179,35797185000,5,5,5,15,23,28,2013
189,55371043400,3,3,3,3,3,3,2013
190,6602806420,11,11,11,11,11,23,2013
199,6603322853,2,2,2,2,2,2,2013
240,26435260800,3,3,3,3,3,3,2013
269,25926681900,3,3,3,3,3,3,2013
274,56257600100,5,5,5,5,5,5,2013
283,55858603300,3,3,3,3,3,3,2013
306,55604303000,10,11,11,11,11,11,2013
314,13609644600,1,1,1,1,1,1,2013
321,55838084400,7,8,8,9,9,9,2013
326,56102203000,5,5,5,5,5,5,2013
355,55904512100,4,5,5,5,5,5,2013
357,56541162300,7,7,7,7,7,7,2013
366,8604666200,9,67,67,84,86,86,2013
375,56109985500,2,2,2,2,2,2,2013
385,36473088400,3,3,3,5,5,5,2013
390,56389400700,1,4,4,4,4,4,2013
393,55438117400,2,4,4,13,16,20,2013
411,55903287600,4,4,4,4,4,4,2013
424,7102700826,28,28,28,28,28,28,2013
429,55900690200,3,3,3,4,4,4,2013
438,35253987700,11,11,11,11,11,11,2013
457,8837828900,3,3,3,3,3,7,2013
472,55831215500,4,4,4,4,4,4,2013
477,55761197000,4,4,4,4,4,4,2013
485,56369577300,19,21,21,21,21,21,2013
496,37015515400,6,6,6,6,6,6,2013
507,54781272800,2,3,3,3,3,4,2013
520,36150748300,14,14,14,14,14,14,2013
531,55929318800,2,2,2,2,5,5,2013
558,25927422700,4,9,13,20,20,20,2013
561,56005372600,5,5,7,7,7,7,2013
618,35550570600,13,13,13,13,23,34,2013
623,55750042900,8,8,8,8,8,8,2013
625,15128362900,56,56,56,56,56,56,2013
654,7202287838,7,8,8,8,8,8,2013
672,35280782200,16,16,16,85,85,106,2013
685,20734416800,17,17,17,17,17,17,2013
694,56286839800,14,14,14,14,14,14,2013
725,55807665000,2,3,3,3,3,3,2013
748,55683066300,2,2,2,2,2,2,2013
750,56217035300,11,11,11,11,11,11,2013
756,45561600000,5,5,5,5,5,5,2013
768,57164080900,2,2,2,2,2,2,2013
770,36646743000,6,6,6,6,6,6,2013
779,55970755000,4,4,4,4,4,4,2013
789,57197244479,5,5,5,5,5,5,2013
790,25928517500,5,5,5,5,5,5,2013
829,55858739400,2,2,2,4,6,6,2013
849,55709131800,7,7,7,7,15,15,2013
918,39262374300,26,26,26,26,26,26,2013
934,9735045400,7,7,7,7,7,7,2013
954,55931016700,3,7,7,7,7,7,2013
962,55777480900,1,1,1,1,1,1,2013
964,55841369000,8,8,8,8,8,8,2013
991,7007079554,6,6,6,6,6,6,2013
1003,55670793800,1,1,1,1,1,1,2013
1004,57196879231,4,4,4,4,4,4,2013
1006,55931466000,7,7,7,7,7,7,2013
1009,56345862400,1,1,1,1,1,1,2013
1025,55428884500,2,2,2,2,2,2,2013
1027,54909671300,13,13,13,13,13,13,2013
1041,36190041200,2,2,2,2,2,2,2013
1066,55808070264,4,4,4,4,4,4,2013
1072,57193393436,4,4,4,4,4,4,2013
1076,49863868100,6,6,7,7,7,24,2013
1091,8965072400,4,4,4,4,4,4,2013
1104,25928513900,2,2,2,2,2,2,2013
1126,8399247300,21,21,21,21,21,21,2013
1159,6602787035,9,9,9,9,9,9,2013
1180,6602939936,2,2,2,2,2,2,2013
1190,36976154200,2,2,2,2,2,2,2013
1193,7006174947,5,5,14,14,14,14,2013
1218,6602872701,4,4,4,4,4,4,2013
1225,36239838900,6,6,6,6,6,6,2013
1230,7102584852,28,28,28,28,28,28,2013
1239,7102983481,30,30,30,30,30,30,2013
1261,55795114700,1,1,1,1,1,1,2013
1279,25930261100,1,1,1,1,1,1,2013
1284,35208956000,6,6,6,6,6,6,2013
1317,36118515400,6,6,9,13,13,13,2013
1350,36995324000,11,11,11,11,11,11,2013
1358,57195223531,3,3,3,3,3,3,2013
1360,55832007200,4,6,6,6,6,6,2013
1367,10641460400,2,2,2,2,2,2,2013
1387,6603830599,4,4,4,4,4,4,2013
1389,56111299400,1,1,1,1,1,8,2013
1393,7202617752,10,10,10,10,10,10,2013
1417,35366753200,4,4,4,4,4,4,2013
1437,37049364000,6,6,6,6,6,6,2013
1457,24377070700,5,5,5,5,5,5,2013
1485,56029229600,3,3,3,3,3,3,2013
1494,55674134300,6,6,6,6,10,10,2013
1501,24832842100,4,4,4,4,4,4,2013
