ID,2015,2016,2017,2018
56707356100,0,2,2,4
57197672885,0,3,7,10
16679222000,10,10,12,23
23995705900,0,3,3,3
57188748169,5,9,9,9
56517715300,4,5,7,19
56747980200,0,0,0,6
6701834930,0,4,6,6
25927422700,13,20,20,20
57035243200,2,2,2,2
57188678994,0,4,5,5
56717764600,0,0,4,4
35607238200,4,4,4,4
56845738100,0,0,10,10
56879182000,2,2,4,4
57191475737,0,6,6,11
34168027600,5,5,9,9
55944810600,2,2,2,2
57189490405,10,10,10,10
56433303600,7,9,11,12
8988880800,0,0,2,2
57193659335,0,4,4,8
56646419100,3,3,3,3
55352871800,3,4,7,7
56919530000,3,4,4,4
56495282900,0,22,22,22
56444380200,0,0,3,3
56999928900,3,3,3,3
56534175200,4,11,11,31
56868557800,0,0,2,3
36809985000,9,13,15,19
14024719500,2,4,6,6
56609057500,0,9,9,9
56458065600,3,5,7,7
39360985900,2,2,6,6
57004462700,0,0,0,7
55637695500,0,0,0,7
57191276563,0,0,3,4
57110067000,0,25,25,25
57028309500,3,4,4,4
56022603200,18,21,21,21
57204340016,0,47,47,47
56729423500,2,2,2,2
55932766000,5,5,5,5
56604816600,3,4,4,4
57190302608,0,0,0,26
56492758700,3,4,7,7
9738303500,3,3,3,3
36991875200,3,9,11,16
57194734506,2,3,4,5
7003291822,2,3,3,3
14008023300,6,16,21,21
55342086400,0,4,4,4
55845274800,4,4,4,4
56668775700,4,4,4,4
57126329000,0,0,9,9
57027365000,2,3,5,5
7005245951,0,4,4,4
6602663280,3,3,25,25
57201562636,12,32,36,37
6602597569,5,5,8,13
57147046200,4,4,6,9
41762578200,5,9,17,17
7004516626,0,4,4,4
7003816203,0,0,4,4
55844084200,3,3,5,9
56893862400,0,0,3,3
57043755900,5,5,9,13
57188969430,2,2,4,5
56902239600,0,0,0,3
57117511400,3,8,10,10
16745019500,1,5,5,5
55866619400,6,6,6,8
56491181800,3,3,3,3
8907493700,4,4,6,6
56835902600,0,4,4,5
24774245400,0,74,74,152
56595080000,0,4,26,27
57203057375,0,0,0,76
15848964700,0,0,17,17
56678644300,0,49,49,49
55553326800,0,49,49,75
8502219100,0,0,0,49
6603200295,4,9,9,10
56970539800,3,7,9,9
56461179400,3,5,5,7
56567681600,7,11,11,11
54420885200,0,1,4,4
55752084500,8,8,9,9
56897186300,5,5,5,5
56565590800,4,6,7,7
56463757600,0,0,4,4
7202774298,7,7,7,7
57078160800,0,8,8,8
57191712033,10,14,14,14
56562658000,10,26,27,27
57195513027,5,6,6,6
7202799510,0,0,0,28
56707353100,2,2,2,2
56883991800,0,0,6,6
56938406400,3,3,3,3
8087635700,4,4,8,8
57015671700,7,7,7,7
56784004400,5,5,36,36
56297632800,18,18,18,21
57188847390,0,39,39,39
55347170400,0,4,4,4
35613331800,4,7,7,7
36521412000,3,3,3,3
56503862800,0,0,5,5
23978940400,17,20,20,20
53985126600,0,2,2,2
55368257900,0,2,2,2
57192697237,0,3,4,4
16238885900,4,4,4,4
56897232400,3,7,7,7
16553339300,0,9,9,13
54585718400,2,2,52,52
56429772600,4,4,4,8
56268734600,0,0,0,11
55869079600,0,0,10,10
56811439000,0,5,5,9
12751782600,3,3,3,3
36538110300,2,4,10,10
56524641900,1,1,3,3
56768232100,0,0,13,13
56825967100,3,3,3,3
57156610700,3,3,4,4
14522681300,8,8,8,8
6602658690,2,2,9,9
56373846500,0,35,35,35
56878582200,2,2,6,7
57195126495,0,1,1,7
23501473800,2,2,2,3
55771097700,0,4,4,4
56507378200,5,7,7,7
56940650700,0,0,0,8
54949615600,0,104,104,151
56939061900,0,0,4,4
56959933200,0,38,38,54
35953054200,0,0,0,4
7006588301,0,3,3,3
57120206400,0,3,4,4
36097249900,0,3,3,3
56454117600,0,6,8,8
6603002871,11,11,11,11
57038945800,6,13,13,13
55916038700,5,5,6,6
7401692221,32,32,32,32
56706863000,0,5,5,5
35107419800,0,0,5,5
56376477100,0,2,2,2
56457967900,0,0,3,3
56924929100,0,0,0,5
7004041411,5,10,11,11
56879039200,2,2,2,2
55728980500,7,7,7,7
57188817603,0,0,3,3
57054854500,0,9,12,15
24554236300,0,3,3,3
56581490100,26,26,26,34
7003361232,16,61,63,63
7403260111,0,5,12,12
56582326600,2,6,6,6
55503114300,5,5,5,5
56699754900,6,6,6,6
56515386600,7,28,28,79
55617653100,14,15,16,16
57189320143,5,7,9,9
35789578800,0,0,8,8
7006522295,0,0,0,12
56403278700,11,13,14,14
56342438700,0,34,38,47
8394955900,11,12,13,13
56313046300,6,7,9,9
56819829900,8,14,14,14
56747500500,3,3,3,3
56938835000,4,4,4,4
26643881700,4,4,4,4
56754808000,2,2,2,2
57160422700,0,2,2,2
56495534400,4,4,7,9
7404449519,0,103,103,119
23092071900,5,9,14,14
56800970200,1,2,2,2
57117575900,3,3,8,8
23566817900,16,24,26,27
57188753882,0,7,7,7
55496706600,2,2,8,8
57148388300,4,5,6,6
56725472600,10,12,17,18
56826177400,0,3,7,7
49962384000,4,4,4,4
56835348800,0,45,47,47
56478533100,0,4,4,4
57190419061,0,0,5,5
23968202700,12,13,13,13
7006723957,0,0,0,8
57190070984,0,0,4,4
57023882200,0,11,11,11
57200143876,0,79,79,79
57070286800,0,4,4,4
13607081100,0,8,11,11
56820098200,6,9,10,10
56449229200,3,3,3,3
12140041100,12,12,19,19
57041137300,2,3,3,4
23093879900,0,0,1,1
56835744800,0,45,47,47
9332600200,10,12,23,23
56412959400,0,0,9,9
56157422800,0,11,11,11
57190338587,8,23,28,28
54917446800,4,4,4,4
56715301200,0,0,2,2
56656595700,3,12,16,20
56939014100,0,0,4,4
