ID,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7003684364,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
10840783800,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23009472100,1,1,2,2,2,2,2,5,5,5,6,7,7,7,8,8,9,9,9,10,10,10,10,10,10,10
7103138947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6701754812,0,0,0,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7004674188,4,4,5,7,7,7,7,7,9,9,10,10,10,11,11,12,12,13,14,14,15,17,18,19,21,22
6506690233,0,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6602899821,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6506116372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,22,22,22,35,35,35,35
6506380271,2,2,3,4,5,5,5,5,5,5,5,5,7,19,19,22,22,26,33,33,33,33,33,37,37,40
35446002900,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
7004682339,2,3,3,3,5,5,5,13,20,31,33,34,35,35,35,35,35,39,39,39,39,39,39,39,47,47
6701831220,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4,6,6,6,6,6,6,6
7404597424,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6602553044,1,1,1,2,4,8,8,11,11,13,13,13,15,15,19,21,28,29,33,33,37,37,43,44,44,46
7003443578,1,1,1,3,3,5,5,5,5,5,5,8,8,8,8,8,8,12,14,15,15,15,15,15,15,15
7003713793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3
35609544900,1,1,2,11,16,20,20,21,21,21,21,26,29,29,36,41,46,48,50,51,64,68,71,71,71,73
7801594242,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,7,7,11,11,11,11
6601995666,2,2,2,2,2,13,13,14,14,19,24,24,26,26,33,37,38,40,42,48,48,49,49,49,49,49
56064235100,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7005318353,1,2,2,3,3,3,4,4,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10
35451303200,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
57191499244,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
35611117900,0,0,0,0,0,0,0,0,4,9,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14
6601955173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
7003997826,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6604014834,2,3,6,9,10,10,12,12,12,12,14,14,16,16,16,18,18,20,21,22,22,22,22,22,22,22
55587723600,4,4,5,5,8,9,11,11,14,14,18,18,20,23,27,29,30,35,37,41,46,51,56,62,64,66
6602916924,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7006156483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,19,19,19,19
7004401312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6
6507045634,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
7003575109,2,2,6,11,11,13,17,22,30,30,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32
56667319700,1,1,3,3,3,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
6505966240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3
7005350867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,4,4,4
7004203202,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7
7202281141,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,11,17,19,19,19,21,21
6603033095,0,0,2,2,5,5,9,11,11,13,13,15,16,18,28,33,35,39,43,46,47,48,50,52,57,58
