ID,2013,2014,2015,2016,2017,2018
55376931500,0,0,73,73,73,73
35444766700,0,0,11,11,11,11
54793525200,4,4,4,4,4,4
8729407200,3,3,3,3,3,3
55892354500,0,3,3,3,3,3
56079662200,0,0,0,0,0,7
55920057000,3,3,3,4,4,5
26648420600,10,10,14,14,14,14
55270360400,2,2,2,2,2,2
55957287600,4,4,4,4,4,4
55880050400,15,15,15,34,34,34
55371043400,3,3,3,3,3,3
26025571400,0,0,0,0,5,5
36805685400,0,0,4,4,4,4
26435260800,3,3,3,3,3,3
25926681900,3,3,3,3,3,3
56257600100,5,5,5,5,5,5
55858603300,3,3,3,3,3,3
55604303000,10,11,11,11,11,11
55825941600,0,0,0,18,18,18
13609644600,1,1,1,1,1,1
55838084400,7,8,8,9,9,9
56541162300,7,7,7,7,7,7
55995655700,2,2,3,3,7,17
56109985500,2,2,2,2,2,2
6603838207,16,16,16,16,16,16
36473088400,3,3,3,5,5,5
55903287600,4,4,4,4,4,4
20436676300,10,10,10,10,10,10
52364876700,0,0,0,16,16,16
35253987700,11,11,11,11,11,11
18041833800,0,0,0,4,4,4
8837828900,3,3,3,3,3,7
55831215500,4,4,4,4,4,4
55761197000,4,4,4,4,4,4
37015515400,6,6,6,6,6,6
56005372600,5,5,7,7,7,7
12647414100,0,0,0,0,0,9
55613312700,0,0,0,0,6,6
35550570600,13,13,13,13,23,34
55750042900,8,8,8,8,8,8
15128362900,56,56,56,56,56,56
36184972700,0,0,0,8,8,8
56286839800,14,14,14,14,14,14
55807665000,2,3,3,3,3,3
56078096600,0,0,0,3,3,3
55683066300,2,2,2,2,2,2
57164080900,2,2,2,2,2,2
55970755000,4,4,4,4,4,4
57197244479,5,5,5,5,5,5
25928517500,5,5,5,5,5,5
55858739400,2,2,2,4,6,6
55709131800,7,7,7,7,15,15
14826391900,0,10,10,20,20,28
6602838973,0,0,1,1,1,1
56074173200,0,0,0,2,2,2
9735045400,7,7,7,7,7,7
55931016700,3,7,7,7,7,7
55777480900,1,1,1,1,1,1
55841369000,8,8,8,8,8,8
57196879231,4,4,4,4,4,4
55931466000,7,7,7,7,7,7
56345862400,1,1,1,1,1,1
54909671300,13,13,13,13,13,13
55800383500,0,0,4,4,4,4
25928513900,2,2,2,2,2,2
56110276600,0,0,7,7,7,7
8399247300,21,21,21,21,21,21
7004159827,0,83,83,83,83,83
57204225272,0,0,0,0,4,4
54685089900,6,6,6,6,6,6
6602787035,9,9,9,9,9,9
36976154200,2,2,2,2,2,2
55973005700,0,0,4,4,4,4
6602872701,4,4,4,4,4,4
55795114700,1,1,1,1,1,1
25930261100,1,1,1,1,1,1
35208956000,6,6,6,6,6,6
55912205900,0,2,2,2,2,2
36118515400,6,6,9,13,13,13
57195223531,3,3,3,3,3,3
56111299400,1,1,1,1,1,8
7202617752,10,10,10,10,10,10
37049364000,6,6,6,6,6,6
56029229600,3,3,3,3,3,3
55674134300,6,6,6,6,10,10
55923917000,3,3,3,3,3,3
54956611300,16,16,16,16,16,16
6508133198,0,0,0,0,0,9
8727472200,7,7,7,7,7,11
55963778000,0,0,0,0,0,34
55640254200,3,6,6,6,6,6
55921184300,0,2,2,2,2,2
55745218900,0,17,17,17,17,17
55734981200,0,0,0,0,5,5
55903521500,3,3,3,3,3,3
55021679700,5,5,5,5,5,5
14422458400,1,1,1,1,1,1
57198168106,4,4,4,4,4,4
8241673300,2,2,2,2,2,2
10041238300,1,2,2,3,3,3
57007439300,3,3,3,3,3,3
55871289700,3,3,3,3,3,3
55498856500,0,0,5,5,5,5
55975998700,8,8,8,8,8,8
7003634626,2,2,2,2,2,2
35194398900,0,0,0,0,0,7
7004313790,0,1,19,61,61,61
7003515926,4,4,4,4,4,4
31767646100,2,2,2,2,2,2
7006655065,0,0,0,0,25,25
55485122200,3,3,3,3,3,3
55571509800,2,2,2,2,2,5
55888041500,0,2,2,4,4,4
55890911000,3,3,3,3,3,3
55842835600,0,0,0,47,47,47
35181960300,5,9,9,9,9,18
57200721544,3,3,3,3,3,3
57198463577,3,3,3,3,3,3
55869182000,3,3,3,3,3,3
55246289100,2,2,2,2,2,2
8703209000,3,3,3,3,3,3
55797619400,0,0,5,5,5,5
8510022100,0,0,0,0,0,3
7005636102,4,4,4,4,4,5
36094694600,5,5,5,5,5,5
36855362600,10,10,10,16,16,16
56346223700,0,12,12,12,12,12
55776805100,0,0,0,0,0,9
55672129800,0,0,0,0,30,30
55597090100,1,1,1,1,1,1
57203626571,11,18,18,18,18,18
55904511300,6,6,6,6,6,6
36705721300,2,2,2,2,2,2
36660402800,4,4,4,4,4,4
56322035100,0,0,0,0,0,5
35379576100,0,3,3,3,3,3
55489559800,4,4,4,4,4,4
55944036600,0,0,4,4,4,4
54683658600,2,2,3,3,3,3
55647039100,0,0,10,10,10,10
23567665900,2,2,2,2,2,2
56031575900,4,4,4,4,4,4
25822734300,9,9,13,13,13,13
36015108600,0,0,0,0,0,2
55614124800,7,7,7,7,7,7
42761053200,7,7,7,8,8,8
57202315017,3,3,9,9,9,9
56469923300,6,6,20,20,20,20
7102125229,9,9,9,9,9,9
57204258718,4,4,4,5,5,5
56592095400,0,0,0,2,2,2
56038924000,4,4,4,4,4,4
37100030600,0,5,5,9,9,9
7403032496,9,9,9,9,9,9
